lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          30.00      10.8838011852769316       4.2210302908153956       3.1695878134907707       1.0514424773246254       2.3047447676222865    -136.0213313964439124       1.0135852383291044       1.9251433907928692
          30.01      10.8837423256359145       4.2207157092298235       3.1695289538497535       1.0511867553800704       2.3052957094383282    -136.0193487684215654       1.0129378568728677       1.9245524975429500
          30.02      10.8836835280467508       4.2204014305352793       3.1694701562605898       1.0509312742746890       2.3058465607016356    -136.0173640309478742       1.0122911504223389       1.9239622204000830
          30.03      10.8836247924247846       4.2200874543534628       3.1694114206386237       1.0506760337148395       2.3063973214718021    -136.0153771865290366       1.0116451180499744       1.9233725585177579
          30.04      10.8835661186855042       4.2197737803067685       3.1693527468993432       1.0504210334074253       2.3069479918083950    -136.0133882376671011       1.0109997588298190       1.9227835110508051
          30.05      10.8835075067445413       4.2194604080182181       3.1692941349583803       1.0501662730598378       2.3074985717709624    -136.0113971868607052       1.0103550718375098       1.9221950771554575
          30.06      10.8834489565176735       4.2191473371113499       3.1692355847315126       1.0499117523798374       2.3080490614190117    -136.0094040366046499       1.0097110561502918       1.9216072559895014
          30.07      10.8833904679208224       4.2188345672102967       3.1691770961346615       1.0496574710756352       2.3085994608120171    -136.0074087893900128       1.0090677108470043       1.9210200467121727
          30.08      10.8833320408700516       4.2185220979397995       3.1691186690838906       1.0494034288559089       2.3091497700094386    -136.0054114477038922       1.0084250350080719       1.9204334484841270
          30.09      10.8832736752815702       4.2182099289251829       3.1690603034954092       1.0491496254297736       2.3096999890706935    -136.0034120140300899       1.0077830277155075       1.9198474604674751
          30.10      10.8832153710717279       4.2178980597924784       3.1690019992855669       1.0488960605069115       2.3102501180551904    -136.0014104908483148       1.0071416880528892       1.9192620818256159
          30.11      10.8831571281570199       4.2175864901680278       3.1689437563708589       1.0486427337971693       2.3108001570222743    -135.9994068806348366       1.0065010151054139       1.9186773117237361
          30.12      10.8830989464540853       4.2172752196788110       3.1688855746679243       1.0483896450108872       2.3113501060312691    -135.9974011858620884       1.0058610079598518       1.9180931493283988
          30.13      10.8830408258797000       4.2169642479526814       3.1688274540935391       1.0481367938591419       2.3118999651415031    -135.9953934089986944       1.0052216657045010       1.9175095938072275
          30.14      10.8829827663507857       4.2166535746178067       3.1687693945646247       1.0478841800531820       2.3124497344122417    -135.9933835525098402       1.0045829874292678       1.9169266443296133
          30.15      10.8829247677844059       4.2163431993029876       3.1687113959982449       1.0476318033047427       2.3129994139027286    -135.9913716188568742       1.0039449722256197       1.9163443000663167
          30.16      10.8828668300977647       4.2160331216375191       3.1686534583116037       1.0473796633259158       2.3135490036721742    -135.9893576104972794       1.0033076191866028       1.9157625601896298
          30.17      10.8828089532082046       4.2157233412516284       3.1685955814220437       1.0471277598295843       2.3140985037797899    -135.9873415298852422       1.0026709274067671       1.9151814238728182
          30.18      10.8827511370332157       4.2154138577755944       3.1685377652470548       1.0468760925285401       2.3146479142847070    -135.9853233794710832       1.0020348959823013       1.9146008902912348
          30.19      10.8826933814904212       4.2151046708406712       3.1684800097042602       1.0466246611364109       2.3151972352460697    -135.9833031617014854       1.0013995240108859       1.9140209586211439
          30.20      10.8826356864975899       4.2147957800785028       3.1684223147114290       1.0463734653670738       2.3157464667229690    -135.9812808790192662       1.0007648105917837       1.9134416280404589
          30.21      10.8825780519726258       4.2144871851214720       3.1683646801864649       1.0461225049350076       2.3162956087744893    -135.9792565338641168       1.0001307548257783       1.9128628977282958
          30.22      10.8825204778335767       4.2141788856023306       3.1683071060474157       1.0458717795549148       2.3168446614596649    -135.9772301286714082       0.9994973558152279       1.9122847668654372
          30.23      10.8824629639986306       4.2138708811543086       3.1682495922124696       1.0456212889418386       2.3173936248374867    -135.9752016658733851       0.9988646126640494       1.9117072346341923
          30.24      10.8824055103861088       4.2135631714116677       3.1681921385999479       1.0453710328117194       2.3179424989669672    -135.9731711478985119       0.9982325244776232       1.9111303002176840
          30.25      10.8823481169144767       4.2132557560088362       3.1681347451283157       1.0451210108805200       2.3184912839070484    -135.9711385771715015       0.9976010903629317       1.9105539628009525
          30.26      10.8822907835023344       4.2129486345810001       3.1680774117161734       1.0448712228648271       2.3190399797166652    -135.9691039561136563       0.9969703094284571       1.9099782215701906
          30.27      10.8822335100684242       4.2126418067637372       3.1680201382822633       1.0446216684814740       2.3195885864547008    -135.9670672871423847       0.9963401807842344       1.9094030757132070
          30.28      10.8821762965316235       4.2123352721933642       3.1679629247454626       1.0443723474479021       2.3201371041800321    -135.9650285726717414       0.9957107035418039       1.9088285244189886
          30.29      10.8821191428109483       4.2120290305067059       3.1679057710247873       1.0441232594819181       2.3206855329514906    -135.9629878151122000       0.9950818768142345       1.9082545668779829
          30.30      10.8820620488255511       4.2117230813411695       3.1678486770393901       1.0438744043017794       2.3212338728278983    -135.9609450168703120       0.9944536997161108       1.9076812022819938
          30.31      10.8820050144947249       4.2114174243345044       3.1677916427085639       1.0436257816259404       2.3217821238680099    -135.9589001803494455       0.9938261713635675       1.9071084298244925
          30.32      10.8819480397378960       4.2111120591253277       3.1677346679517351       1.0433773911735926       2.3223302861305917    -135.9568533079490180       0.9931992908742057       1.9065362486999431
          30.33      10.8818911244746257       4.2108069853528143       3.1676777526884647       1.0431292326643491       2.3228783596743776    -135.9548044020652355       0.9925730573671386       1.9059646581041920
          30.34      10.8818342686246172       4.2105022026563894       3.1676208968384563       1.0428813058179336       2.3234263445580408    -135.9527534650902396       0.9919474699630316       1.9053936572348480
          30.35      10.8817774721077054       4.2101977106763631       3.1675641003215445       1.0426336103548182       2.3239742408402582    -135.9507004994132160       0.9913225277840069       1.9048232452904887
          30.36      10.8817207348438618       4.2098935090534439       3.1675073630577009       1.0423861459957435       2.3245220485796683    -135.9486455074191440       0.9906982299537065       1.9042534214712472
          30.37      10.8816640567531948       4.2095895974288187       3.1674506849670339       1.0421389124617852       2.3250697678348606    -135.9465884914901039       0.9900745755972898       1.9036841849787371
          30.38      10.8816074377559460       4.2092859754444643       3.1673940659697850       1.0418919094746797       2.3256173986644302    -135.9445294540040834       0.9894515638413669       1.9031155350156295
          30.39      10.8815508777724936       4.2089826427426864       3.1673375059863327       1.0416451367563542       2.3261649411269172    -135.9424683973357730       0.9888291938140775       1.9025474707862431
          30.40      10.8814943767233476       4.2086795989665422       3.1672810049371867       1.0413985940293555       2.3267123952808544    -135.9404053238562824       0.9882074646450240       1.9019799914960127
          30.41      10.8814379345291563       4.2083768437594760       3.1672245627429954       1.0411522810164802       2.3272597611847243    -135.9383402359332251       0.9875863754653117       1.9014130963519267
          30.42      10.8813815511106995       4.2080743767654889       3.1671681793245385       1.0409061974409504       2.3278070388969891    -135.9362731359307190       0.9869659254075288       1.9008467845623163
          30.43      10.8813252263888920       4.2077721976292626       3.1671118546027310       1.0406603430265311       2.3283542284760865    -135.9342040262091302       0.9863461136057307       1.9002810553367175
          30.44      10.8812689602847801       4.2074703059959475       3.1670555884986191       1.0404147174973279       2.3289013299804262    -135.9321329091256416       0.9857269391954521       1.8997159078860939
          30.45      10.8812127527195450       4.2071687015112715       3.1669993809333841       1.0401693205778879       2.3294483434683877    -135.9300597870336844       0.9851084013137005       1.8991513414227259
          30.46      10.8811566036145031       4.2068673838213204       3.1669432318283421       1.0399241519929787       2.3299952689982999    -135.9279846622832792       0.9844904990989835       1.8985873551604759
          30.47      10.8811005128910985       4.2065663525730637       3.1668871411049375       1.0396792114681261       2.3305421066285064    -135.9259075372208940       0.9838732316912217       1.8980239483141150
          30.48      10.8810444804709121       4.2062656074137683       3.1668311086847512       1.0394344987290172       2.3310888564172885    -135.9238284141896145       0.9832565982318410       1.8974611201000662
          30.49      10.8809885062756528       4.2059651479914226       3.1667751344894919       1.0391900135019312       2.3316355184229174    -135.9217472955289736       0.9826405978637006       1.8968988697358637
          30.50      10.8809325902271681       4.2056649739541880       3.1667192184410071       1.0389457555131809       2.3321820927036043    -135.9196641835750086       0.9820252297311708       1.8963371964408287
          30.51      10.8808767322474278       4.2053650849513833       3.1666633604612668       1.0387017244901169       2.3327285793175920    -135.9175790806602890       0.9814104929799891       1.8957760994348496
          30.52      10.8808209322585423       4.2050654806322569       3.1666075604723813       1.0384579201598756       2.3332749783230287    -135.9154919891139457       0.9807963867574364       1.8952155779399036
          30.53      10.8807651901827480       4.2047661606469013       3.1665518183965871       1.0382143422503143       2.3338212897780690    -135.9134029112615565       0.9801829102121934       1.8946556311789018
          30.54      10.8807095059424128       4.2044671246459586       3.1664961341562519       1.0379709904897068       2.3343675137408382    -135.9113118494253456       0.9795700624943920       1.8940962583760752
          30.55      10.8806538794600343       4.2041683722806154       3.1664405076738733       1.0377278646067420       2.3349136502694381    -135.9092188059241550       0.9789578427556015       1.8935374587569531
          30.56      10.8805983106582449       4.2038699032023130       3.1663849388720839       1.0374849643302291       2.3354596994219068    -135.9071237830731604       0.9783462501488766       1.8929792315487373
          30.57      10.8805427994597999       4.2035717170635580       3.1663294276736389       1.0372422893899191       2.3360056612563143    -135.9050267831842405       0.9777352838286296       1.8924215759792824
          30.58      10.8804873457875928       4.2032738135167440       3.1662739740014318       1.0369998395153122       2.3365515358306310    -135.9029278085657779       0.9771249429508023       1.8918644912785521
          30.59      10.8804319495646382       4.2029761922154485       3.1662185777784773       1.0367576144369712       2.3370973232028676    -135.9008268615228019       0.9765152266726761       1.8913079766770191
          30.60      10.8803766107140873       4.2026788528132180       3.1661632389279264       1.0365156138852916       2.3376430234309482    -135.8987239443569308       0.9759061341530423       1.8907520314071529
          30.61      10.8803213291592140       4.2023817949646141       3.1661079573730531       1.0362738375915606       2.3381886365728231    -135.8966190593662020       0.9752976645520478       1.8901966547021318
          30.62      10.8802661048234270       4.2020850183242366       3.1660527330372661       1.0360322852869706       2.3387341626863538    -135.8945122088454411       0.9746898170313311       1.8896418457970310
          30.63      10.8802109376302578       4.2017885225477309       3.1659975658440969       1.0357909567036341       2.3392796018294364    -135.8924033950859211       0.9740825907538805       1.8890876039275990
          30.64      10.8801558275033692       4.2014923072909474       3.1659424557172082       1.0355498515737391       2.3398249540599010    -135.8902926203755896       0.9734759848841473       1.8885339283312708
          30.65      10.8801007743665537       4.2011963722102017       3.1658874025803927       1.0353089696298090       2.3403702194355387    -135.8881798869990405       0.9728699985880059       1.8879808182468503
          30.66      10.8800457781437281       4.2009007169625772       3.1658324063575671       1.0350683106050096       2.3409153980141455    -135.8860651972372580       0.9722646310327069       1.8874282729141338
          30.67      10.8799908387589355       4.2006053412057343       3.1657774669727745       1.0348278742329597       2.3414604898534894    -135.8839485533682137       0.9716598813869036       1.8868762915741408
          30.68      10.8799359561363538       4.2003102445973131       3.1657225843501928       1.0345876602471207       2.3420054950112585    -135.8818299576661275       0.9710557488207311       1.8863248734698401
          30.69      10.8798811302002782       4.2000154267961864       3.1656677584141173       1.0343476683820696       2.3425504135451787    -135.8797094124020930       0.9704522325056283       1.8857740178446181
          30.70      10.8798263608751373       4.1997208874613126       3.1656129890889764       1.0341078983723357       2.3430952455129099    -135.8775869198437647       0.9698493316144950       1.8852237239436724
          30.71      10.8797716480854838       4.1994266262522908       3.1655582762993228       1.0338683499529679       2.3436399909720920    -135.8754624822552444       0.9692470453216134       1.8846739910133297
          30.72      10.8797169917559966       4.1991326428292393       3.1655036199698356       1.0336290228594032       2.3441846499803347    -135.8733361018977064       0.9686453728026617       1.8841248183011978
          30.73      10.8796623918114808       4.1988389368527859       3.1654490200253198       1.0333899168274661       2.3447292225952263    -135.8712077810285166       0.9680443132347044       1.8835762050561560
          30.74      10.8796078481768657       4.1985455079841998       3.1653944763907047       1.0331510315934955       2.3452737088743336    -135.8690775219021418       0.9674438657961831       1.8830281505282125
          30.75      10.8795533607772086       4.1982523558850309       3.1653399889910476       1.0329123668939832       2.3458181088751702    -135.8669453267691836       0.9668440296669604       1.8824806539689314
          30.76      10.8794989295376912       4.1979594802175271       3.1652855577515302       1.0326739224659973       2.3463624226552451    -135.8648111978773727       0.9662448040282506       1.8819337146309085
          30.77      10.8794445543836193       4.1976668806443254       3.1652311825974584       1.0324356980468674       2.3469066502720199    -135.8626751374709158       0.9656461880626729       1.8813873317681666
          30.78      10.8793902352404235       4.1973745568287288       3.1651768634542625       1.0321976933744663       2.3474507917829501    -135.8605371477907511       0.9650481809541985       1.8808415046357962
          30.79      10.8793359720336600       4.1970825084343728       3.1651226002474990       1.0319599081868738       2.3479948472454413    -135.8583972310742922       0.9644507818881997       1.8802962324903627
          30.80      10.8792817646890061       4.1967907351256866       3.1650683929028451       1.0317223422228410       2.3485388167169030    -135.8562553895560256       0.9638539900513822       1.8797515145893493
          30.81      10.8792276131322669       4.1964992365673286       3.1650142413461060       1.0314849952212222       2.3490827002546819    -135.8541116254668282       0.9632578046318604       1.8792073501918274
          30.82      10.8791735172893684       4.1962080124246839       3.1649601455032075       1.0312478669214764       2.3496264979161228    -135.8519659410342797       0.9626622248190876       1.8786637385578633
          30.83      10.8791194770863626       4.1959170623633559       3.1649061053002017       1.0310109570631543       2.3501702097585140    -135.8498183384828621       0.9620672498039163       1.8781206789491109
          30.84      10.8790654924494223       4.1956263860497698       3.1648521206632614       1.0307742653865084       2.3507138358391448    -135.8476688200335047       0.9614728787785199       1.8775781706280961
          30.85      10.8790115633048448       4.1953359831506152       3.1647981915186838       1.0305377916319309       2.3512573762152535    -135.8455173879041809       0.9608791109364653       1.8770362128588800
          30.86      10.8789576895790479       4.1950458533333794       3.1647443177928869       1.0303015355404925       2.3518008309440788    -135.8433640443093395       0.9602859454726312       1.8764948049064076
          30.87      10.8789038711985757       4.1947559962657301       3.1646904994124148       1.0300654968533154       2.3523442000828019    -135.8412087914601329       0.9596933815832974       1.8759539460372583
          30.88      10.8788501080900897       4.1944664116161032       3.1646367363039287       1.0298296753121750       2.3528874836886016    -135.8390516315646437       0.9591014184660532       1.8754136355189184
          30.89      10.8787964001803754       4.1941770990534284       3.1645830283942145       1.0295940706592139       2.3534306818186219    -135.8368925668275153       0.9585100553198435       1.8748738726201324
          30.90      10.8787427473963447       4.1938880582466691       3.1645293756101838       1.0293586826364849       2.3539737945299373    -135.8347315994501514       0.9579192913450166       1.8743346566114227
          30.91      10.8786891496650213       4.1935992888660953       3.1644757778788604       1.0291235109872350       2.3545168218796806    -135.8325687316308006       0.9573291257431543       1.8737959867635805
          30.92      10.8786356069135604       4.1933107905817204       3.1644222351273994       1.0288885554543210       2.3550597639248654    -135.8304039655644715       0.9567395577172827       1.8732578623495280
          30.93      10.8785821190692289       4.1930225630647051       3.1643687472830679       1.0286538157816367       2.3556026207225611    -135.8282373034427053       0.9561505864716734       1.8727202826426341
          30.94      10.8785286860594219       4.1927346059861224       3.1643153142732610       1.0284192917128614       2.3561453923297351    -135.8260687474540305       0.9555622112120167       1.8721832469181887
          30.95      10.8784753078116516       4.1924469190178959       3.1642619360254907       1.0281849829924052       2.3566880788033724    -135.8238982997836786       0.9549744311452785       1.8716467544522726
          30.96      10.8784219842535492       4.1921595018325055       3.1642086124673883       1.0279508893651172       2.3572306802004310    -135.8217259626136979       0.9543872454797543       1.8711108045221223
          30.97      10.8783687153128685       4.1918723541026441       3.1641553435267076       1.0277170105759366       2.3577731965778117    -135.8195517381228399       0.9538006534250986       1.8705753964065126
          30.98      10.8783155009174823       4.1915854755017037       3.1641021291313214       1.0274833463703819       2.3583156279924165    -135.8173756284866158       0.9532146541922607       1.8700405293851894
          30.99      10.8782623409953842       4.1912988657034012       3.1640489692092233       1.0272498964941779       2.3588579745010922    -135.8151976358774107       0.9526292469935383       1.8695062027393083
          31.00      10.8782092354746815       4.1910125243823790       3.1639958636885206       1.0270166606938584       2.3594002361607100    -135.8130177624644546       0.9520444310424815       1.8689724157507124
          31.01      10.8781561842836094       4.1907264512130915       3.1639428124974485       1.0267836387156435       2.3599424130280351    -135.8108360104135954       0.9514602055540567       1.8684391677032630
          31.02      10.8781031873505132       4.1904406458712344       3.1638898155643522       1.0265508303068822       2.3604845051598926    -135.8086523818875548       0.9508765697444334       1.8679064578811244
          31.03      10.8780502446038643       4.1901551080322363       3.1638368728177033       1.0263182352145335       2.3610265126129963    -135.8064668790460132       0.9502935228311998       1.8673742855705615
          31.04      10.8779973559722478       4.1898698373726191       3.1637839841860869       1.0260858531865327       2.3615684354440933    -135.8042795040452688       0.9497110640331655       1.8668426500583168
          31.05      10.8779445213843680       4.1895848335691159       3.1637311495982070       1.0258536839709085       2.3621102737098787    -135.8020902590385219       0.9491291925704842       1.8663115506326553
          31.06      10.8778917407690461       4.1893000962991511       3.1636783689828851       1.0256217273162660       2.3626520274670373    -135.7998991461758465       0.9485479076645865       1.8657809865827952
          31.07      10.8778390140552226       4.1890156252403887       3.1636256422690616       1.0253899829713267       2.3631936967722020    -135.7977061676040762       0.9479672085382321       1.8652509571994302
          31.08      10.8777863411719569       4.1887314200710160       3.1635729693857959       1.0251584506852200       2.3637352816819837    -135.7955113254667765       0.9473870944154753       1.8647214617743983
          31.09      10.8777337220484220       4.1884474804698062       3.1635203502622611       1.0249271302075456       2.3642767822529729    -135.7933146219046989       0.9468075645216482       1.8641924996005999
          31.10      10.8776811566139102       4.1881638061160436       3.1634677848277493       1.0246960212882943       2.3648181985417387    -135.7911160590550139       0.9462286180833787       1.8636640699720954
          31.11      10.8776286447978290       4.1878803966894704       3.1634152730116680       1.0244651236778024       2.3653595306048234    -135.7889156390519929       0.9456502543285762       1.8631361721841366
          31.12      10.8775761865297032       4.1875972518702600       3.1633628147435422       1.0242344371267178       2.3659007784987254    -135.7867133640268662       0.9450724724864524       1.8626088055332259
          31.13      10.8775237817391730       4.1873143713392071       3.1633104099530120       1.0240039613861951       2.3664419422799412    -135.7845092361073682       0.9444952717874814       1.8620819693168729
          31.14      10.8774714303559978       4.1870317547772942       3.1632580585698369       1.0237736962074573       2.3669830220049026    -135.7823032574183912       0.9439186514634584       1.8615556628341008
          31.15      10.8774191323100489       4.1867494018662494       3.1632057605238879       1.0235436413423611       2.3675240177300449    -135.7800954300817011       0.9433426107474209       1.8610298853847895
          31.16      10.8773668875313163       4.1864673122881602       3.1631535157451554       1.0233137965430052       2.3680649295117653    -135.7778857562157384       0.9427671488737003       1.8605046362701290
          31.17      10.8773146959499023       4.1861854857257628       3.1631013241637413       1.0230841615620214       2.3686057574064492    -135.7756742379359878       0.9421922650778781       1.8599799147922753
