lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          30.00      11.0112699265121563       4.2614461893917568       3.2074131589588522       1.0540330304329051       2.2996848546513124    -136.2036935982966384       1.0201471265559259       1.9311327119615906
          30.01      11.0112113739629205       4.2611305416425465       3.2073546064096163       1.0537759352329301       2.3002354304527706    -136.2016711222644574       1.0194956027467033       1.9305380378057020
          30.02      11.0111528831544536       4.2608151977141651       3.2072961156011495       1.0535190821130156       2.3007859160653270    -136.1996465560385445       1.0188447584146334       1.9299439838380745
          30.03      11.0110944540024924       4.2605001572270531       3.2072376864491883       1.0532624707778648       2.3013363115483614    -136.1976199021077036       1.0181945926257829       1.9293505492065828
          30.04      11.0110360864229104       4.2601854198028217       3.2071793188696063       1.0530061009332150       2.3018866169612893    -136.1955911629572142       1.0175451044477462       1.9287577330598313
          30.05      11.0109777803317321       4.2598709850631540       3.2071210127784280       1.0527499722847260       2.3024368323634294    -136.1935603410685189       1.0168962929498071       1.9281655345485620
          30.06      11.0109195356451224       4.2595568526305874       3.2070627680918182       1.0524940845387691       2.3029869578141127    -136.1915274389193655       1.0162481572028206       1.9275739528246538
          30.07      11.0108613522793899       4.2592430221282331       3.2070045847260857       1.0522384374021474       2.3035369933726288    -136.1894924589836080       1.0156006962792490       1.9269829870414668
          30.08      11.0108032301509855       4.2589294931797834       3.2069464625976813       1.0519830305821016       2.3040869390982430    -136.1874554037316045       1.0149539092531548       1.9263926363538302
          30.09      11.0107451691765039       4.2586162654095006       3.2068884016231998       1.0517278637863012       2.3046367950501878    -136.1854162756299331       1.0143077952002009       1.9258028999180534
          30.10      11.0106871692726820       4.2583033384422659       3.2068304017193778       1.0514729367228877       2.3051865612876745    -136.1833750771413065       1.0136623531976441       1.9252137768918676
          30.11      11.0106292303564022       4.2579907119033535       3.2067724628030980       1.0512182491002560       2.3057362378698532    -136.1813318107249700       1.0130175823243621       1.9246252664347003
          30.12      11.0105713523446838       4.2576783854188225       3.2067145847913796       1.0509638006274429       2.3062858248558755    -136.1792864788364454       1.0123734816607848       1.9240373677071660
          30.13      11.0105135351546899       4.2573663586153812       3.2066567676013857       1.0507095910139954       2.3068353223048694    -136.1772390839273612       1.0117300502889228       1.9234500798712464
          30.14      11.0104557787037258       4.2570546311200683       3.2065990111504217       1.0504556199696471       2.3073847302759076    -136.1751896284460486       1.0110872872924079       1.9228634020906925
          30.15      11.0103980829092354       4.2567432025607905       3.2065413153559312       1.0502018872048593       2.3079340488280597    -136.1731381148365756       1.0104451917564008       1.9222773335303205
          30.16      11.0103404476888080       4.2564320725657057       3.2064836801355039       1.0499483924302018       2.3084832780203333    -136.1710845455401113       1.0098037627676897       1.9216918733568085
          30.17      11.0102828729601683       4.2561212407638678       3.2064261054068641       1.0496951353570037       2.3090324179117450    -136.1690289229935331       1.0091629994145919       1.9211070207378687
          30.18      11.0102253586411827       4.2558107067848336       3.2063685910878785       1.0494421156969547       2.3095814685612686    -136.1669712496302793       1.0085229007869989       1.9205227748427351
          30.19      11.0101679046498599       4.2555004702585055       3.2063111370965558       1.0491893331619493       2.3101304300278280    -136.1649115278802071       1.0078834659764029       1.9199391348423633
          30.20      11.0101105109043473       4.2551905308155824       3.2062537433510432       1.0489367874645388       2.3106793023703385    -136.1628497601695074       1.0072446940758288       1.9193560999088610
          30.21      11.0100531773229289       4.2548808880873441       3.2061964097696247       1.0486844783177189       2.3112280856476901    -136.1607859489206476       1.0066065841798579       1.9187736692157455
          30.22      11.0099959038240307       4.2545715417055145       3.2061391362707266       1.0484324054347884       2.3117767799187292    -136.1587200965524289       1.0059691353846434       1.9181918419381143
          30.23      11.0099386903262175       4.2542624913024873       3.2060819227729134       1.0481805685295740       2.3123253852422780    -136.1566522054803272       1.0053323467878843       1.9176106172523741
          30.24      11.0098815367481908       4.2539537365112059       3.2060247691948867       1.0479289673163192       2.3128739016771376    -136.1545822781158108       1.0046962174888234       1.9170299943363538
          30.25      11.0098244430087924       4.2536452769651261       3.2059676754554882       1.0476776015096378       2.3134223292820666    -136.1525103168669659       1.0040607465882676       1.9164499723693824
          30.26      11.0097674090269990       4.2533371122984320       3.2059106414736949       1.0474264708247367       2.3139706681158154    -136.1504363241382691       1.0034259331885336       1.9158705505319833
          30.27      11.0097104347219279       4.2530292421457032       3.2058536671686237       1.0471755749770795       2.3145189182370851    -136.1483603023305875       1.0027917763935101       1.9152917280063111
          30.28      11.0096535200128329       4.2527216661421789       3.2057967524595288       1.0469249136826506       2.3150670797045572    -136.1462822538410933       1.0021582753086093       1.9147135039758083
          30.29      11.0095966648191048       4.2524143839235755       3.2057398972658007       1.0466744866577744       2.3156151525768784    -136.1442021810633491       1.0015254290407847       1.9141358776254214
          30.30      11.0095398690602710       4.2521073951263340       3.2056831015069669       1.0464242936193671       2.3161631369126772    -136.1421200863876493       1.0008932366985031       1.9135588481412997
          30.31      11.0094831326559941       4.2518006993873776       3.2056263651026899       1.0461743342846876       2.3167110327705536    -136.1400359722002236       1.0002616973917657       1.9129824147110837
          30.32      11.0094264555260786       4.2514942963439442       3.2055696879727744       1.0459246083711702       2.3172588402090426    -136.1379498408842323       0.9996308102321362       1.9124065765241203
          30.33      11.0093698375904570       4.2511881856343150       3.2055130700371528       1.0456751155971622       2.3178065592867103    -136.1358616948188569       0.9990005743326295       1.9118313327705401
          30.34      11.0093132787692021       4.2508823668970148       3.2054565112158979       1.0454258556811173       2.3183541900620561    -136.1337715363800953       0.9983709888078210       1.9112566826422506
          30.35      11.0092567789825218       4.2505768397712060       3.2054000114292176       1.0451768283419889       2.3189017325935564    -136.1316793679400519       0.9977420527737960       1.9106826253324563
          30.36      11.0092003381507606       4.2502716038964561       3.2053435705974564       1.0449280332989996       2.3194491869396501    -136.1295851918673634       0.9971137653481700       1.9101091600359257
          30.37      11.0091439561943929       4.2499666589132588       3.2052871886410887       1.0446794702721696       2.3199965531587790    -136.1274890105273130       0.9964861256500107       1.9095362859483402
          30.38      11.0090876330340333       4.2496620044622428       3.2052308654807291       1.0444311389815142       2.3205438313093141    -136.1253908262815742       0.9958591327999574       1.9089640022672874
          30.39      11.0090313685904260       4.2493576401850097       3.2051746010371218       1.0441830391478879       2.3210910214496443    -136.1232906414881256       0.9952327859200899       1.9083923081912073
          30.40      11.0089751627844539       4.2490535657232407       3.2051183952311497       1.0439351704920909       2.3216381236380776    -136.1211884585016207       0.9946070841340550       1.9078212029204940
          30.41      11.0089190155371313       4.2487497807194874       3.2050622479838271       1.0436875327356603       2.3221851379329261    -136.1190842796731317       0.9939820265669485       1.9072506856565155
          30.42      11.0088629267696039       4.2484462848169589       3.2050061592162997       1.0434401256006591       2.3227320643924902    -136.1169781073500360       0.9933576123453473       1.9066807556018712
          30.43      11.0088068964031542       4.2481430776591136       3.2049501288498501       1.0431929488092631       2.3232789030749963    -136.1148699438766130       0.9927338405973628       1.9061114119609015
          30.44      11.0087509243591963       4.2478401588901100       3.2048941568058922       1.0429460020842183       2.3238256540386759    -136.1127597915934189       0.9921107104525665       1.9055426539391067
          30.45      11.0086950105592756       4.2475375281547105       3.2048382430059714       1.0426992851487387       2.3243723173417257    -136.1106476528372298       0.9914882210420098       1.9049744807432849
          30.46      11.0086391549250742       4.2472351850979386       3.2047823873717700       1.0424527977261682       2.3249188930422848    -136.1085335299418091       0.9908663714982661       1.9044068915819352
          30.47      11.0085833573784004       4.2469331293658721       3.2047265898250963       1.0422065395407758       2.3254653811985224    -136.1064174252371970       0.9902451609553146       1.9038398856642820
          30.48      11.0085276178412013       4.2466313606045345       3.2046708502878971       1.0419605103166374       2.3260117818685080    -136.1042993410501367       0.9896245885486942       1.9032734622016394
          30.49      11.0084719362355461       4.2463298784611698       3.2046151686822419       1.0417147097789279       2.3265580951103657    -136.1021792797035346       0.9890046534153182       1.9027076204058229
          30.50      11.0084163124836465       4.2460286825829101       3.2045595449303423       1.0414691376525678       2.3271043209821114    -136.1000572435171705       0.9883853546936646       1.9021423594908091
          30.51      11.0083607465078384       4.2457277726177498       3.2045039789545342       1.0412237936632160       2.3276504595417666    -136.0979332348072717       0.9877666915236324       1.9015776786715142
          30.52      11.0083052382305890       4.2454271482143078       3.2044484706772849       1.0409786775370233       2.3281965108473455    -136.0958072558865410       0.9871486630465650       1.9010135771640821
          30.53      11.0082497875744956       4.2451268090217198       3.2043930200211914       1.0407337890005284       2.3287424749568131    -136.0936793090643278       0.9865312684052813       1.9004500541860343
          30.54      11.0081943944622918       4.2448267546892327       3.2043376269089876       1.0404891277802450       2.3292883519280734    -136.0915493966464567       0.9859145067441076       1.8998871089567375
          30.55      11.0081390588168322       4.2445269848673854       3.2042822912635280       1.0402446936038574       2.3298341418190804    -136.0894175209354842       0.9852983772087197       1.8993247406959612
          30.56      11.0080837805611083       4.2442274992065840       3.2042270130078041       1.0400004861987804       2.3303798446876844    -136.0872836842303002       0.9846828789463434       1.8987629486256306
          30.57      11.0080285596182375       4.2439282973580852       3.2041717920649333       1.0397565052931523       2.3309254605917435    -136.0851478888264978       0.9840680111056040       1.8982017319686018
          30.58      11.0079733959114687       4.2436293789736581       3.2041166283581646       1.0395127506154931       2.3314709895890844    -136.0830101370162879       0.9834537728365772       1.8976410899490834
          30.59      11.0079182893641772       4.2433307437055632       3.2040615218108730       1.0392692218946906       2.3320164317375052    -136.0808704310883002       0.9828401632907847       1.8970810217926453
          30.60      11.0078632398998693       4.2430323912066044       3.2040064723465651       1.0390259188600393       2.3325617870947650    -136.0787287733279811       0.9822271816211917       1.8965215267261764
          30.61      11.0078082474421795       4.2427343211300537       3.2039514798888753       1.0387828412411784       2.3331070557186018    -136.0765851660172245       0.9816148269822006       1.8959626039779374
          30.62      11.0077533119148683       4.2424365331299638       3.2038965443615641       1.0385399887683997       2.3336522376667435    -136.0744396114345420       0.9810030985296204       1.8954042527772086
          30.63      11.0076984332418260       4.2421390268606487       3.2038416656885218       1.0382973611721273       2.3341973329968635    -136.0722921118552051       0.9803919954207220       1.8948464723548939
          30.64      11.0076436113470706       4.2418418019770563       3.2037868437937664       1.0380549581832899       2.3347423417666189    -136.0701426695507621       0.9797815168141942       1.8942892619430871
          30.65      11.0075888461547482       4.2415448581346471       3.2037320786014440       1.0378127795332035       2.3352872640336324    -136.0679912867897485       0.9791716618701493       1.8937326207751906
          30.66      11.0075341375891291       4.2412481949894465       3.2036773700358250       1.0375708249536215       2.3358320998555109    -136.0658379658371757       0.9785624297501173       1.8931765480858658
          30.67      11.0074794855746152       4.2409518121978902       3.2036227180213110       1.0373290941765791       2.3363768492898136    -136.0636827089546159       0.9779538196170631       1.8926210431112105
          30.68      11.0074248900357308       4.2406557094171280       3.2035681224824266       1.0370875869347014       2.3369215123940936    -136.0615255184004582       0.9773458306353434       1.8920661050883887
          30.69      11.0073703508971281       4.2403598863047440       3.2035135833438240       1.0368463029609201       2.3374660892258690    -136.0593663964293683       0.9767384619707365       1.8915117332559603
          30.70      11.0073158680835874       4.2400643425186910       3.2034591005302833       1.0366052419884082       2.3380105798426087    -136.0572053452932266       0.9761317127904573       1.8909579268539676
          30.71      11.0072614415200114       4.2397690777177885       3.2034046739667073       1.0363644037510817       2.3385549843017945    -136.0550423672400200       0.9755255822630774       1.8904046851233181
          30.72      11.0072070711314307       4.2394740915610205       3.2033503035781266       1.0361237879828940       2.3390993026608395    -136.0528774645146655       0.9749200695586225       1.8898520073066334
          30.73      11.0071527568430021       4.2391793837081178       3.2032959892896979       1.0358833944184203       2.3396435349771525    -136.0507106393588117       0.9743151738484900       1.8892998926475448
          30.74      11.0070984985800031       4.2388849538193742       3.2032417310266990       1.0356432227926753       2.3401876813081235    -136.0485418940105546       0.9737108943054710       1.8887483403909104
          30.75      11.0070442962678428       4.2385908015552962       3.2031875287145386       1.0354032728407576       2.3407317417110769    -136.0463712307048922       0.9731072301037916       1.8881973497832283
          30.76      11.0069901498320490       4.2382969265773038       3.2031333822787449       1.0351635442985585       2.3412757162433500    -136.0441986516733550       0.9725041804190201       1.8876469200717967
          30.77      11.0069360591982779       4.2380033285469807       3.2030792916449737       1.0349240369020074       2.3418196049622222    -136.0420241591441481       0.9719017444281611       1.8870970505056057
          30.78      11.0068820242923078       4.2377100071267044       3.2030252567390036       1.0346847503877012       2.3423634079249687    -136.0398477553421515       0.9712999213095722       1.8865477403345854
          30.79      11.0068280450400398       4.2374169619792532       3.2029712774867356       1.0344456844925172       2.3429071251888240    -136.0376694424891753       0.9706987102430066       1.8859989888100588
          30.80      11.0067741213675045       4.2371241927676682       3.2029173538142004       1.0342068389534682       2.3434507568109715    -136.0354892228034203       0.9700981104096377       1.8854507951849193
          30.81      11.0067202532008466       4.2368316991561468       3.2028634856475424       1.0339682135086044       2.3439943028486350    -136.0333070985000461       0.9694981209919292       1.8849031587125478
          30.82      11.0066664404663417       4.2365394808087995       3.2028096729130375       1.0337298078957615       2.3445377633589404    -136.0311230717909154       0.9688987411738027       1.8843560786483000
          30.83      11.0066126830903830       4.2362475373906046       3.2027559155370788       1.0334916218535257       2.3450811383990371    -136.0289371448841962       0.9682999701405016       1.8838095542483517
          30.84      11.0065589809994933       4.2359558685666014       3.2027022134461891       1.0332536551204123       2.3456244280259853    -136.0267493199853277       0.9677018070787099       1.8832635847706887
          30.85      11.0065053341203107       4.2356644740029239       3.2026485665670066       1.0330159074359169       2.3461676322968836    -136.0245595992962251       0.9671042511763922       1.8827181694738280
          30.86      11.0064517423795980       4.2353733533658406       3.2025949748262938       1.0327783785395472       2.3467107512687675    -136.0223679850155065       0.9665073016229325       1.8821733076179861
          30.87      11.0063982057042402       4.2350825063222679       3.2025414381509361       1.0325410681713314       2.3472537849986574    -136.0201744793386638       0.9659109576090558       1.8816289984644572
          30.88      11.0063447240212451       4.2347919325395615       3.2024879564679409       1.0323039760716206       2.3477967335435377    -136.0179790844577781       0.9653152183268591       1.8810852412758581
          30.89      11.0062912972577411       4.2345016316854567       3.2024345297044370       1.0320671019810197       2.3483395969603489    -136.0157818025618042       0.9647200829698140       1.8805420353161999
          30.90      11.0062379253409741       4.2342116034287187       3.2023811577876700       1.0318304456410488       2.3488823753060677    -136.0135826358363715       0.9641255507326704       1.8799993798500925
          30.91      11.0061846081983195       4.2339218474378040       3.2023278406450153       1.0315940067927891       2.3494250686375513    -136.0113815864639832       0.9635316208116439       1.8794572741443623
          30.92      11.0061313457572645       4.2336323633823865       3.2022745782039603       1.0313577851784261       2.3499676770117035    -136.0091786566237602       0.9629382924042044       1.8789157174662117
          30.93      11.0060781379454209       4.2333431509323507       3.2022213703921167       1.0311217805402335       2.3505102004853784    -136.0069738484916400       0.9623455647091993       1.8783747090844145
          30.94      11.0060249846905212       4.2330542097580803       3.2021682171372170       1.0308859926208638       2.3510526391153896    -136.0047671642405476       0.9617534369268287       1.8778342482689812
          30.95      11.0059718859204168       4.2327655395304298       3.2021151183671126       1.0306504211633167       2.3515949929585305    -136.0025586060397700       0.9611619082586317       1.8772943342911805
          30.96      11.0059188415630800       4.2324771399207854       3.2020620740097758       1.0304150659110096       2.3521372620715639    -136.0003481760558373       0.9605709779074852       1.8767549664234642
          30.97      11.0058658515466004       4.2321890106010995       3.2020090839932962       1.0301799266078033       2.3526794465112384    -135.9981358764516983       0.9599806450775855       1.8762161439394180
          30.98      11.0058129157991882       4.2319011512438438       3.2019561482458840       1.0299450029979598       2.3532215463342738    -135.9959217093872894       0.9593909089744669       1.8756778661138278
