                   X [km]                   Y [km]                 T [dias]
    -360.4346348557352826   -1222.5350713708694457       0.0000000000000000
    -350.1521418288660357   -1225.5417439726581961       0.0001092649460569
    -339.8562004906088418   -1228.5026424552183926       0.0002185335215635
    -329.5468542325175463   -1231.4177543400394370       0.0003278093559541
    -319.2241465026420428   -1234.2870673415784495       0.0004370960786326
    -308.8881208053428509   -1237.1105693673093811       0.0005463973189568
    -298.5388207011082500   -1239.8882485177709896       0.0006557167062235
    -288.1762898063698799   -1242.6200930866209546       0.0007650578696529
    -277.8005717933199890   -1245.3060915606824892       0.0008744244383734
    -267.4117103897272614   -1247.9462326199948166       0.0009838200414065
    -257.0097493787526446   -1250.5405051378622829       0.0010932483076512
    -246.5947325987635850   -1253.0888981808943754       0.0012027128658688
    -236.1667039431510204   -1255.5914010090616557       0.0013122173446678
    -225.7257073601434172   -1258.0480030757330496       0.0014217653724884
    -215.2717868526213465   -1260.4586940277222311       0.0015313605775871
    -204.8049864779320330   -1262.8234637053337792       0.0016410065880219
    -194.3253503477054949   -1265.1423021424070612       0.0017507070316365
    -183.8329226276661075   -1267.4151995663503385       0.0018604655360451
    -173.3277475374473227   -1269.6421463981896522       0.0019702857286173
    -162.8098693504058758   -1271.8231332526070219       0.0020801712364628
    -152.2793323934353396   -1273.9581509379802355       0.0021901256864159
    -141.7361810467783698   -1276.0471904564201395       0.0023001527050205
    -131.1804597438398048   -1278.0902430038090642       0.0024102559185144
    -120.6122129710000763   -1280.0872999698381136       0.0025204389528147
    -110.0314852674278114   -1282.0383529380460459       0.0026307054335016
     -99.4383212248906432   -1283.9433936858504239       0.0027410589858040
     -88.8327654875692616   -1285.8024141845830854       0.0028515032345838
     -78.2148627518680399   -1287.6154065995287965       0.0029620418043204
     -67.5846577662266554   -1289.3823632899507174       0.0030726783190960
     -56.9421953309319804   -1291.1032768091304206       0.0031834164025799
     -46.2875202979296034   -1292.7781399043915371       0.0032942596780133
     -35.6206775706330490   -1294.4069455171338632       0.0034052117681941
     -24.9417121037368261   -1295.9896867828697395       0.0035162762954616
     -14.2506689030258915   -1297.5263570312383763       0.0036274568816812
      -3.5475930251855763   -1299.0169497860497358       0.0037387571482295
       7.1674704223877992   -1300.4614587652956743       0.0038501807159782
      17.8944762817768783   -1301.8598778811924603       0.0039617312052797
      28.6333793447341414   -1303.2122012401957818       0.0040734122359513
      39.3841343528718255   -1304.5184231430309865       0.0041852274272605
      50.1466959978528095   -1305.7785380847105898       0.0042971803979089
      60.9210189215822524   -1306.9925407545676990       0.0044092747660178
      71.7070577163979266   -1308.1604260362673813       0.0045215141491124
      82.5047669252612650   -1309.2821890078357683       0.0046339021641069
      93.3141010419503374   -1310.3578249416787003       0.0047464424272888
     104.1350145112507306   -1311.3873293045987793       0.0048591385543045
     114.9674617291471606   -1312.3706977578201531       0.0049719941601429
     125.8113970430163420   -1313.3079261570019298       0.0050850128591212
     136.6667747518192471   -1314.1990105522568228       0.0051981982648692
     147.5335491062936626   -1315.0439471881720692       0.0053115539903139
     158.4116743091469743   -1315.8427325038169329       0.0054250836476648
     169.3011045152489373   -1316.5953631327640778       0.0055387908483982
     180.2017938318251424   -1317.3018359031018463       0.0056526792032421
     191.1136963186513356   -1317.9621478374506296       0.0057667523221613
     202.0367659882447526   -1318.5762961529665063       0.0058810138143416
     212.9709568060600873   -1319.1442782613651161       0.0059954672881752
     223.9162226906821331   -1319.6660917689214330       0.0061101163512449
     234.8725175140214674   -1320.1417344764909103       0.0062249646103096
     245.8397951015075478   -1320.5712043795067530       0.0063400156712882
     256.8180092322827477   -1320.9544996679956057       0.0064552731392454
     267.8071136393991196   -1321.2916187265877852       0.0065707406183758
     278.8070620100129418   -1321.5825601345172799       0.0066864217119887
     289.8178079855778719   -1321.8273226656294810       0.0068023200224936
     300.8393051620428196   -1322.0259052883900495       0.0069184391513842
     311.8715070900460091   -1322.1783071658860536       0.0070347826992237
     322.9143672751114877   -1322.2845276558305159       0.0071513542656294
     333.9678391778441551   -1322.3445663105612766       0.0072681574492578
     345.0318762141277489   -1322.3584228770539539       0.0073851958477891
     356.1064317553184537   -1322.3260972969062550       0.0075024730579124
     367.1914591284444214   -1322.2475897063563934       0.0076199926753102
     378.2869116164001753   -1322.1229004362664909       0.0077377582946433
     389.3927424581440846   -1321.9520300121325818       0.0078557735095360
     400.5089048488956109   -1321.7349791540761998       0.0079740419125604
     411.6353519403337486   -1321.4717487768432420       0.0080925670952219
     422.7720368407921683   -1321.1623399898014668       0.0082113526479434
     433.9189126154579412   -1320.8067540969325364       0.0083304021600506
     445.0759322865699232   -1320.4049925968297430       0.0084497192197569
     456.2430488336157168   -1319.9570571826902778       0.0085693074141479
     467.4202151935313623   -1319.4629497423075009       0.0086891703291667
     478.6073842608972768   -1318.9226723580641192       0.0088093115495985
     489.8045088881390257   -1318.3362273069233197       0.0089297346590556
     501.0115418857247391   -1317.7036170604178551       0.0090504432399625
     512.2284360223644626   -1317.0248442846425405       0.0091714408735403
     523.4551440252089378   -1316.2999118402387921       0.0092927311397922
     534.6916185800494077   -1315.5288227823862144       0.0094143176174878
     545.9378123315169660   -1314.7115803607873659       0.0095362038841486
     557.1936778832803157   -1313.8481880196559359       0.0096583935160325
     568.4591677982488136   -1312.9386493977017381       0.0097808900881191
     579.7342345987697172   -1311.9829683281143389       0.0099036971740941
     591.0188307668288417   -1310.9811488385466873       0.0100268183463348
     602.3129087442512173   -1309.9331951510994259       0.0101502571758947
     613.6164209329026562   -1308.8391116823054290       0.0102740172324887
     624.9293196948876812   -1307.6989030431052470       0.0103981020844778
     636.2515573527510924   -1306.5125740388300528       0.0105225152988540
     647.5830861896826036   -1305.2801296691864081       0.0106472604412258
     658.9238584497112470   -1304.0015751282273868       0.0107723410758026
     670.2738263379134196   -1302.6769158043362040       0.0108977607653798
     681.6329420206084251   -1301.3061572801996135       0.0110235230713241
     693.0011576255641330   -1299.8893053327888083       0.0111496315535581
     704.3784252421984320   -1298.4263659333312262       0.0112760897705455
     715.7646969217777269   -1296.9173452472857662       0.0114029012792762
     727.1599246776230530   -1295.3622496343200510       0.0115300696352510
     738.5640604853111881   -1293.7610856482815507       0.0116575983924668
     749.9770562828742868   -1292.1138600371668872       0.0117854911034017
     761.3988639710070174   -1290.4205797430977327       0.0119137513189999
     772.8294354132640365   -1288.6812519022907964       0.0120423825886569
     784.2687224362703091   -1286.8958838450289477       0.0121713884602041
     795.7166768299150590   -1285.0644830956237001       0.0123007724798946
     807.1732503475617477   -1283.1870573723908819       0.0124305381923873
     818.6383947062486186   -1281.2636145876172122       0.0125606891407331
     830.1120615868931054   -1279.2941628475227844       0.0126912288663587
     841.5942026344940814   -1277.2787104522296886       0.0128221609090529
     853.0847694583369503   -1275.2172658957265412       0.0129534888069507
     864.5837136321988510   -1273.1098378658355159       0.0130852160965190
     876.0909866945485192   -1270.9564352441684605       0.0132173463125414
     887.6065401487542204   -1268.7570671060968834       0.0133498829881034
     899.1303254632872495   -1266.5117427207110268       0.0134828296545776
     910.6622940719279313   -1264.2204715507814399       0.0136161898416087
     922.2023973739646863   -1261.8832632527141868       0.0137499670770984
     933.7505867344067383   -1259.5001276765192415       0.0138841648871912
     945.3068134841828396   -1257.0710748657618296       0.0140187867962587
     956.8710289203489765   -1254.5961150575203646       0.0141538363268855
     968.4431843062944836   -1252.0752586823496131       0.0142893169998538
     980.0232308719455432   -1249.5085163642283987       0.0144252323341288
     991.6111198139709586   -1246.8958989205207217       0.0145615858468440
    1003.2068022959891778   -1244.2374173619273279       0.0146983810532861
    1014.8102294487730433   -1241.5330828924413709       0.0148356214668804
    1026.4213523704568161   -1238.7829069092999816       0.0149733105991757
    1038.0401221267400160   -1235.9869010029344736       0.0151114519598299
    1049.6664897510950141   -1233.1450769569246404       0.0152500490565950
    1061.3004062449751927   -1230.2574467479473697       0.0153891053953022
    1072.9418225780179910   -1227.3240225457275301       0.0155286244798474
    1084.5906896882552246   -1224.3448167129849935       0.0156686098121763
    1096.2469584823152218   -1221.3198418053818841       0.0158090648922695
    1107.9105798356347350   -1218.2491105714734658       0.0159499932181280
    1119.5815045926622133   -1215.1326359526503893       0.0160913982857582
