lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          30.00      10.7679797515644218       4.1877226589450718       3.1348171107315945       1.0529055482134777       2.3135645935291582    -135.8554028897754620       1.0020757066857300       1.8737604577631495
          30.01      10.7679210870344555       4.1874152674426304       3.1347584462016282       1.0526568212410021       2.3141152616889253    -135.8534383713013938       1.0014371547881828       1.8732036720886005
          30.02      10.7678624842252244       4.1871081723582808       3.1346998433923972       1.0524083289658837       2.3146658393163499    -135.8514717427117660       1.0007992672021411       1.8726474656608281
          30.03      10.7678039430527548       4.1868013733215328       3.1346413022199275       1.0521600711016057       2.3152163264709964    -135.8495030065026015       1.0001620430172098       1.8720918376859961
          30.04      10.7677454634332168       4.1864948699625089       3.1345828226003896       1.0519120473621193       2.3157667232124091    -135.8475321651659442       0.9995254813245512       1.8715367873715922
          30.05      10.7676870452829245       4.1861886619116966       3.1345244044500973       1.0516642574615993       2.3163170296000777    -135.8455592211903991       0.9988895812169266       1.8709823139267159
          30.06      10.7676286885183341       4.1858827488003953       3.1344660476855069       1.0514167011148885       2.3168672456934849    -135.8435841770606771       0.9982543417886304       1.8704284165615668
          30.07      10.7675703930560420       4.1855771302604161       3.1344077522232148       1.0511693780372009       2.3174173715520836    -135.8416070352575957       0.9976197621355219       1.8698750944877691
          30.08      10.7675121588127887       4.1852718059242697       3.1343495179799614       1.0509222879443079       2.3179674072353036    -135.8396277982586753       0.9969858413550049       1.8693223469181703
          30.09      10.7674539857054583       4.1849667754247273       3.1342913448726311       1.0506754305520962       2.3185173528025147    -135.8376464685374572       0.9963525785460731       1.8687701730673285
          30.10      10.7673958736510720       4.1846620383954756       3.1342332328182447       1.0504288055772308       2.3190672083130974    -135.8356630485640721       0.9957199728092269       1.8682185721507589
          30.11      10.7673378225667982       4.1843575944704279       3.1341751817339709       1.0501824127364570       2.3196169738263603    -135.8336775408044446       0.9950880232465612       1.8676675433857270
          30.12      10.7672798323699404       4.1840534432844674       3.1341171915371131       1.0499362517473538       2.3201666494016266    -135.8316899477213724       0.9944567289616598       1.8671170859903834
          30.13      10.7672219029779477       4.1837495844725527       3.1340592621451204       1.0496903223274323       2.3207162350981432    -135.8297002717736461       0.9938260890597107       1.8665671991847841
          30.14      10.7671640343084061       4.1834460176707129       3.1340013934755788       1.0494446241951336       2.3212657309751727    -135.8277085154165036       0.9931961026473787       1.8660178821897644
          30.15      10.7671062262790418       4.1831427425154040       3.1339435854462145       1.0491991570691899       2.3218151370919391    -135.8257146811016298       0.9925667688328733       1.8654691342276428
          30.16      10.7670484788077250       4.1828397586432846       3.1338858379748977       1.0489539206683864       2.3223644535075967    -135.8237187712768161       0.9919380867259900       1.8649209545225029
          30.17      10.7669907918124590       4.1825370656921805       3.1338281509796317       1.0487089147125492       2.3229136802813377    -135.8217207883864148       0.9913100554379674       1.8643733422990596
          30.18      10.7669331652113947       4.1822346632998428       3.1337705243785674       1.0484641389212759       2.3234628174722509    -135.8197207348709412       0.9906826740816598       1.8638262967841048
          30.19      10.7668755989228124       4.1819325511051719       3.1337129580899852       1.0482195930151863       2.3240118651394623    -135.8177186131675285       0.9900559417713567       1.8632798172050702
          30.20      10.7668180928651385       4.1816307287472831       3.1336554520323112       1.0479752767149724       2.3245608233420332    -135.8157144257094444       0.9894298576229182       1.8627339027911172
          30.21      10.7667606469569339       4.1813291958659518       3.1335980061241067       1.0477311897418451       2.3251096921390060    -135.8137081749263473       0.9888044207537067       1.8621885527726190
          30.22      10.7667032611169002       4.1810279521014717       3.1335406202840730       1.0474873318173992       2.3256584715893838    -135.8116998632445700       0.9881796302825988       1.8616437663813090
          30.23      10.7666459352638757       4.1807269970947285       3.1334832944310484       1.0472437026636805       2.3262071617521474    -135.8096894930865233       0.9875554853299803       1.8610995428502053
          30.24      10.7665886693168353       4.1804263304871920       3.1334260284840081       1.0470003020031839       2.3267557626862589    -135.8076770668710367       0.9869319850177344       1.8605558814136036
          30.25      10.7665314631948945       4.1801259519207257       3.1333688223620673       1.0467571295586588       2.3273042744506234    -135.8056625870134155       0.9863091284692750       1.8600127813073022
          30.26      10.7664743168173000       4.1798258610381520       3.1333116759844728       1.0465141850536797       2.3278526971041642    -135.8036460559254124       0.9856869148094539       1.8594702417679416
          30.27      10.7664172301034426       4.1795260574822306       3.1332545892706154       1.0462714682116152       2.3284010307057104    -135.8016274760152555       0.9850653431647097       1.8589282620341780
          30.28      10.7663602029728427       4.1792265408969431       3.1331975621400154       1.0460289787569272       2.3289492753141321    -135.7996068496872226       0.9844444126628827       1.8583868413452083
          30.29      10.7663032353451591       4.1789273109264728       3.1331405945123318       1.0457867164141410       2.3294974309882348    -135.7975841793424934       0.9838241224333467       1.8578459789419206
          30.30      10.7662463271401911       4.1786283672153672       3.1330836863073639       1.0455446809080038       2.3300454977867733    -135.7955594673782684       0.9832044716069962       1.8573056740667291
          30.31      10.7661894782778678       4.1783297094091481       3.1330268374450405       1.0453028719641080       2.3305934757685174    -135.7935327161885937       0.9825854593161470       1.8567659259628515
          30.32      10.7661326886782547       4.1780313371536106       3.1329700478454274       1.0450612893081828       2.3311413649921833    -135.7915039281636496       0.9819670846946348       1.8562267338751097
          30.33      10.7660759582615544       4.1777332500952555       3.1329133174287271       1.0448199326665284       2.3316891655164711    -135.7894731056900639       0.9813493468777553       1.8556880970494443
          30.34      10.7660192869481044       4.1774354478809137       3.1328566461152771       1.0445788017656361       2.3322368774000304    -135.7874402511510539       0.9807322450023043       1.8551500147333244
          30.35      10.7659626746583754       4.1771379301580875       3.1328000338255482       1.0443378963325398       2.3327845007014938    -135.7854053669263124       0.9801157782065372       1.8546124861753617
          30.36      10.7659061213129696       4.1768406965750682       3.1327434804801424       1.0440972160949258       2.3333320354794953    -135.7833684553918374       0.9794999456301429       1.8540755106251774
          30.37      10.7658496268326314       4.1765437467801823       3.1326869859998041       1.0438567607803781       2.3338794817925792    -135.7813295189202449       0.9788847464143492       1.8535390873342485
          30.38      10.7657931911382292       4.1762470804227805       3.1326305503054019       1.0436165301173785       2.3344268396993191    -135.7792885598805128       0.9782701797017769       1.8530032155547771
