lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          30.00      11.0090878418156102       4.2796085880292845       3.2052310742623060       1.0743775137669784       2.3162751168601790    -136.2092535316578790       0.9980005232100809       1.7480727695856906
          30.01      11.0090311447075884       4.2793187094040590       3.2051743771542842       1.0741443322497752       2.3168233527375479    -136.2071582752378447       0.9973691327760169       1.7475994972979192
          30.02      11.0089745069553668       4.2790291113448831       3.2051177394020627       1.0739113719428199       2.3173714998181150    -136.2050609941525181       0.9967383956141721       1.7471267146845020
          30.03      11.0089179284786916       4.2787397935001712       3.2050611609253874       1.0736786325747838       2.3179195581604755    -136.2029616907911418       0.9961083108351777       1.7466544210787247
          30.04      11.0088614091974435       4.2784507555189082       3.2050046416441393       1.0734461138747688       2.3184675278231999    -136.2008603675394625       0.9954788775511832       1.7461826158149978
          30.05      11.0088049490316440       4.2781619970502831       3.2049481814783398       1.0732138155719437       2.3190154088648014    -136.1987570267796173       0.9948500948758915       1.7457112982291698
          30.06      11.0087485479014422       4.2778735177446672       3.2048917803481380       1.0729817373965291       2.3195632013438146    -136.1966516708901338       0.9942219619244653       1.7452404676576838
          30.07      11.0086922057271295       4.2775853172523703       3.2048354381738253       1.0727498790785450       2.3201109053186983    -136.1945443022462143       0.9935944778136344       1.7447701234386366
          30.08      11.0086359224291304       4.2772973952243882       3.2047791548758262       1.0725182403485620       2.3206585208478940    -136.1924349232191673       0.9929676416616323       1.7443002649111456
          30.09      11.0085796979280026       4.2770097513125229       3.2047229303746985       1.0722868209378245       2.3212060479898322    -136.1903235361771465       0.9923414525881679       1.7438308914152278
          30.10      11.0085235321444408       4.2767223851687701       3.2046667645911366       1.0720556205776335       2.3217534868028928    -136.1882101434844117       0.9917159097144913       1.7433620022923311
          30.11      11.0084674249992709       4.2764352964459782       3.2046106574459667       1.0718246390000115       2.3223008373454492    -136.1860947475017838       0.9910910121633224       1.7428935968847628
          30.12      11.0084113764134557       4.2761484847973126       3.2045546088601515       1.0715938759371615       2.3228480996758276    -136.1839773505867868       0.9904667590589044       1.7424256745361506
          30.13      11.0083553863080876       4.2758619498766759       3.2044986187547835       1.0713633311218929       2.3233952738523427    -136.1818579550930792       0.9898431495269518       1.7419582345910705
          30.14      11.0082994546043995       4.2755756913381084       3.2044426870510954       1.0711330042870131       2.3239423599332469    -136.1797365633710797       0.9892201826947168       1.7414912763955703
          30.15      11.0082435812237467       4.2752897088370565       3.2043868136704425       1.0709028951666140       2.3244893579768373    -136.1776131777676540       0.9885978576908460       1.7410247992960579
          30.16      11.0081877660876284       4.2750040020283677       3.2043309985343242       1.0706730034940430       2.3250362680412890    -136.1754878006259446       0.9879761736455913       1.7405588026410426
          30.17      11.0081320091176700       4.2747185705682131       3.2042752415643658       1.0704433290038478       2.3255830901848107    -136.1733604342859110       0.9873551296906095       1.7400932857794671
          30.18      11.0080763102356318       4.2744334141130214       3.2042195426823277       1.0702138714306941       2.3261298244655659    -136.1712310810837607       0.9867347249590609       1.7396282480616230
          30.19      11.0080206693634022       4.2741485323199608       3.2041639018100980       1.0699846305098628       2.3266764709416994    -136.1690997433524331       0.9861149585855623       1.7391636888387307
          30.20      11.0079650864230043       4.2738639248466539       3.2041083188697002       1.0697556059769537       2.3272230296713277    -136.1669664234212576       0.9854958297062176       1.7386996074631915
          30.21      11.0079095613365947       4.2735795913509280       3.2040527937832906       1.0695267975676375       2.3277695007125065    -136.1648311236161248       0.9848773374586292       1.7382360032887858
          30.22      11.0078540940264595       4.2732955314914367       3.2039973264731554       1.0692982050182818       2.3283158841232945    -136.1626938462592875       0.9842594809818398       1.7377728756701456
          30.23      11.0077986844150129       4.2730117449275902       3.2039419168617087       1.0690698280658810       2.3288621799617322    -136.1605545936700139       0.9836422594163331       1.7373102239628060
          30.24      11.0077433324248037       4.2727282313188244       3.2038865648714996       1.0688416664473248       2.3294083882857977    -136.1584133681634512       0.9830256719041063       1.7368480475238306
