                   X [km]                   Y [km]                 T [dias]
    -766.0162459010346083    -985.1497904715128016       0.0000000000000000
    -757.8542517633992475    -991.4666614126412014       0.0001058748952749
    -749.6636276356888402    -997.7466031250810374       0.0002117530680452
    -741.4444266570666286   -1003.9895748658020693       0.0003176377957854
    -733.1967021520968046   -1010.1955361316289554       0.0004235323559271
    -724.9205076303990154   -1016.3644466595012545       0.0005294400258382
    -716.6158967862988902   -1022.4962664267379751       0.0006353640828016
    -708.2829234984841378   -1028.5909556512947347       0.0007413078039940
    -699.9216418296502980   -1034.6484747920228529       0.0008472744664642
    -691.5321060261527464   -1040.6687845489263964       0.0009532673471125
    -683.1143705176560843   -1046.6518458634163835       0.0010592897226689
    -674.6684899167757976   -1052.5976199185643054       0.0011653448696720
    -666.1945190187295793   -1058.5060681393540563       0.0012714360644481
    -657.6925128009784203   -1064.3771521929324990       0.0013775665830893
    -649.1625264228717924   -1070.2108339888586670       0.0014837397014326
    -640.6046152252868069   -1076.0070756793465989       0.0015899586950388
    -632.0188347302752163   -1081.7658396595199974       0.0016962268391710
    -623.4052406406958653   -1087.4870885676455146       0.0018025474087734
    -614.7638888398577137   -1093.1707852853830900       0.0019089236784500
    -606.0948353911569484   -1098.8168929380231020       0.0020153589224436
    -597.3981365377120483   -1104.4253748947253371       0.0021218564146141
    -588.6738487019996455   -1109.9961947687609154       0.0022284194284180
    -579.9220284854874308   -1115.5293164177405743       0.0023350512368862
    -571.1427326682696730   -1121.0247039438579577       0.0024417551126037
    -562.3360182086959185   -1126.4823216941163082       0.0025485343276877
    -553.5019422430017357   -1131.9021342605617519       0.0026553921537666
    -544.6405620849398019   -1137.2841064805127189       0.0027623318619589
    -535.7519352254063278   -1142.6282034367898177       0.0028693567228519
    -526.8361193320694156   -1147.9343904579400260       0.0029764700064802
    -517.8931722489943468   -1153.2026331184615628       0.0030836749823051
    -508.9231519962671086   -1158.4328972390305807       0.0031909749191927
    -499.9261167696205916   -1163.6251488867187618       0.0032983730853931
    -490.9021249400544775   -1168.7793543752147798       0.0034058727485193
    -481.8512350534583106   -1173.8954802650455349       0.0035134771755254
    -472.7735058302304196   -1178.9734933637894301       0.0036211896326863
    -463.6689961648980329   -1184.0133607262937403       0.0037290133855756
    -454.5377651257333014   -1189.0150496548853880       0.0038369516990452
    -445.3798719543735274   -1193.9785276995894492       0.0039450078372034
    -436.1953760654332086   -1198.9037626583337897       0.0040531850633943
    -426.9843370461202312   -1203.7907225771587036       0.0041614866401763
    -417.7468146558492208   -1208.6393757504276891       0.0042699158293012
    -408.4828688258539842   -1213.4496907210300378       0.0043784758916927
    -399.1925596587985865   -1218.2216362805845620       0.0044871700874255
    -389.8759474283858140   -1222.9551814696446854       0.0045960016757040
    -380.5330925789702405   -1227.6502955778987598       0.0047049739148414
    -371.1640557251603241   -1232.3069481443660607       0.0048140900622381
    -361.7688976514306205   -1236.9251089575980131       0.0049233533743611
    -352.3476793117235957   -1241.5047480558723692       0.0050327671067225
    -342.9004618290565531   -1246.0458357273907950       0.0051423345138586
    -333.4273064951236734   -1250.5483425104657726       0.0052520588493086
    -323.9282747698989056   -1255.0122391937161410       0.0053619433655936
    -314.4034282812370407   -1259.4374968162564983       0.0054719913141955
    -304.8528288244741589   -1263.8240866678818293       0.0055822059455358
    -295.2765383620262583   -1268.1719802892591815       0.0056925905089548
    -285.6746190229878835   -1272.4811494721059262       0.0058031482526900
    -276.0471331027288215   -1276.7515662593791603       0.0059138824238557
    -266.3941430624895474   -1280.9832029454510121       0.0060247962684213
    -256.7157115289761578   -1285.1760320762923584       0.0061358930311906
    -247.0119012939543097   -1289.3300264496517684       0.0062471759557807
    -237.2827753138416824   -1293.4451591152264882       0.0063586482846009
    -227.5283967092996988   -1297.5214033748438851       0.0064703132588316
    -217.7488287648236280   -1301.5587327826301589       0.0065821741184035
    -207.9441349283320619   -1305.5571211451845102       0.0066942341019763
    -198.1143788107565911   -1309.5165425217471693       0.0068064964469179
    -188.2596241856259667   -1313.4369712243683352       0.0069189643892833
    -178.3799349886565153   -1317.3183818180757498       0.0070316411637936
    -168.4753753173336577   -1321.1607491210388616       0.0071445300038152
    -158.5460094304980316   -1324.9640482047318528       0.0072576341413383
    -148.5919017479283184   -1328.7282543940968935       0.0073709568069567
    -138.6131168499228465   -1332.4533432677008022       0.0074845012298462
    -128.6097194768811676   -1336.1392906578996644       0.0075982706377439
    -118.5817745288832867   -1339.7860726509882170       0.0077122682569272
    -108.5293470652696612   -1343.3936655873606014       0.0078264973121931
     -98.4525023042180010   -1346.9620460616613400       0.0079409610268370
     -88.3513056223212487   -1350.4911909229381308       0.0080556626226317
     -78.2258225541619225   -1353.9810772747903229       0.0081706053198069
     -68.0761187918883053   -1357.4316824755198923       0.0082857923370280
     -57.9022601847888296   -1360.8429841382785526       0.0084012268913753
     -47.7043127388616242   -1364.2149601312080449       0.0085169121983231
     -37.4823426163903264   -1367.5475885775911138       0.0086328514717189
     -27.2364161355123464   -1370.8408478559861123       0.0087490479237626
     -16.9665997697890454   -1374.0947166003745679       0.0088655047649854
      -6.6729601477753464   -1377.3091737002921491       0.0089822252042292
       3.6444359474139754   -1380.4841983009739579       0.0090992124486258
      13.9855215785363782   -1383.6197698034823134       0.0092164697035760
      24.3502296546566299   -1386.7158678648431760       0.0093340001727287
      34.7384929315816322   -1389.7724723981796160       0.0094518070579605
      45.1502440122956941   -1392.7895635728432353       0.0095698935593545
      55.5854153474001365   -1395.7671218145353578       0.0096882628751795
      66.0439392355505390   -1398.7051278054434533       0.0098069182018699
      76.5257478238945481   -1401.6035624843609639       0.0099258627340043
      87.0307731085133014   -1404.4624070468121317       0.0100450996642848
      97.5589469348634850   -1407.2816429451731892       0.0101646321835167
     108.1102009982178203   -1410.0612518887951410       0.0102844634805876
     118.6844668441095223   -1412.8012158441199517       0.0104045967424467
     129.2816758687754941   -1415.5015170347994626       0.0105250351540839
     139.9017593196017799   -1418.1621379418086235       0.0106457818985095
     150.5446482955700276   -1420.7830613035619081       0.0107668401567334
     161.2102737477034964   -1423.3642701160204069       0.0108882131077444
     171.8985664795162620   -1425.9057476328098346       0.0110099039284898
     182.6094571474609154   -1428.4074773653214834       0.0111319157938544
     193.3428762613798426   -1430.8694430828227269       0.0112542518766402
     204.0987541849543447   -1433.2916288125638857       0.0113769153475459
     214.8770211361583335   -1435.6740188398784994       0.0114999093751458
     225.6776071877098673   -1438.0165977082872359       0.0116232371258701
     236.5004422675241074   -1440.3193502195981637       0.0117469017639835
     247.3454561591702543   -1442.5822614340056589       0.0118709064515651
     258.2125785023245044   -1444.8053166701827195       0.0119952543484880
     269.1017387932290035   -1446.9885015053848747       0.0121199486123984
     280.0128663851467650   -1449.1318017755377241       0.0122449923986956
     290.9458904888221582   -1451.2352035753276596       0.0123703888605109
     301.9007401729386970   -1453.2986932582978170       0.0124961411486879
     312.8773443645807788   -1455.3222574369312952       0.0126222524117615
     323.8756318496922972   -1457.3058829827398313       0.0127487257959375
     334.8955312735415646   -1459.2495570263513400       0.0128755644450726
     345.9369711411825961   -1461.1532669575890395       0.0130027715006534
     356.9998798179178152   -1463.0170004255558069       0.0131303501017768
     368.0841855297663869   -1464.8407453387151236       0.0132583033851288
     379.1898163639264681   -1466.6244898649674724       0.0133866344849647
     390.3167002692429151   -1468.3682224317271903       0.0135153465330886
     401.4647650566753896   -1470.0719317260013668       0.0136444426588329
     412.6339383997661798   -1471.7356066944571467       0.0137739259890385
     423.8241478351086471   -1473.3592365434979001       0.0139037996480340
     435.0353207628187420   -1474.9428107393307528       0.0140340667576155
     446.2673844470058384   -1476.4863190080370714       0.0141647304370269
     457.5202660162427151   -1477.9897513356393119       0.0142957938029386
     468.7938924640401410   -1479.4530979681612735       0.0144272599694286
     480.0881906493223141   -1480.8763494116992661       0.0145591320479610
     491.4030872968969561   -1482.2594964324753164       0.0146914131473669
     502.7385089979325699   -1483.6025300569031060       0.0148241063738234
     514.0943822104380843   -1484.9054415716443600       0.0149572148308341
     525.4706332597341998   -1486.1682225236650083       0.0150907416192084
     536.8671883389350796   -1487.3908647202886186       0.0152246898370417
     548.2839735094272555   -1488.5733602292539217       0.0153590625796954
     559.7209147013467145   -1489.7157013787602864       0.0154938629397766
     571.1779377140625229   -1490.8178807575238807       0.0156290940071181
     582.6549682166559023   -1491.8798912148201907       0.0157647588687582
     594.1519317484043086   -1492.9017258605344978       0.0159008606089211
     605.6687537192626678   -1493.8833780652030327       0.0160374023089964
     617.2053594103487058   -1494.8248414600591332       0.0161743870475194
     628.7616739744277083   -1495.7261099370734883       0.0163118179001512
     640.3376224363970550   -1496.5871776489923377       0.0164496979396582
     651.9331296937731395   -1497.4080390093772621       0.0165880302358930
     663.5481205171794272   -1498.1886886926406532       0.0167268178557739
     675.1825195508323532   -1498.9291216340809569       0.0168660638632650
     686.8362513130338129   -1499.6293330299145055       0.0170057713193567
     698.5092401966570606   -1500.2893183373062129       0.0171459432820454
     710.2014104696401091   -1500.9090732744018624       0.0172865828063140
     721.9126862754743570   -1501.4885938203522073       0.0174276929441120
     733.6429916337000350   -1502.0278762153418484       0.0175692767443355
     745.3922504403955145   -1502.5269169606119704       0.0177113372528076
     757.1603864686754832   -1502.9857128184855810       0.0178538775122588
     768.9473233691802534   -1503.4042608123841092       0.0179969005623069
     780.7529846705747332   -1503.7825582268494600       0.0181404094394373
     792.5772937800438740   -1504.1206026075637965       0.0182844071769839
     804.4201739837900504   -1504.4183917613604535       0.0184288968051085
     816.2815484475275980   -1504.6759237562416729       0.0185738813507819
     828.1613402169864457   -1504.8931969213911088       0.0187193638377638
     840.0594722184065404   -1505.0702098471822410       0.0188653472865835
     851.9758672590412516   -1505.2069613851908798       0.0190118347145201
     863.9104480276575941   -1505.3034506481992594       0.0191588291355829
     875.8631370950347446   -1505.3596770102035407       0.0193063335604921
     887.8338569144708572   -1505.3756401064190413       0.0194543509966589
     899.8225298222829451   -1505.3513398332802353       0.0196028844481663
     911.8290780383126730   -1505.2867763484416628       0.0197519369157496
     923.8534236664298760   -1505.1819500707792940       0.0199015113967765
     935.8954886950389209   -1505.0368616803859823       0.0200516108852284
     947.9551949975825664   -1504.8515121185655516       0.0202022383716801
     960.0324643330521894   -1504.6259025878293869       0.0203533968432812
     972.1272183464924410   -1504.3600345518889299       0.0205050892837363
     984.2393785695120414   -1504.0539097356440834       0.0206573186732856
     996.3688664207895727   -1503.7075301251716155       0.0208100879886858
    1008.5156032065879117   -1503.3208979677146999       0.0209634002031906
    1020.6795101212610462   -1502.8940157716679096       0.0211172582865315
    1032.8605082477654378   -1502.4268863065576625       0.0212716652048986
    1045.0585185581749101   -1501.9195126030303982       0.0214266239209209
    1057.2734619141904204   -1501.3718979528250657       0.0215821373936480
    1069.5052590676557429   -1500.7840459087592535       0.0217382085785300
    1081.7538306610695145   -1500.1559602847012229       0.0218948404273987
    1094.0190972281004633   -1499.4876451555471704       0.0220520358884484
    1106.3009791941058211   -1498.7791048571955344       0.0222097979062169
    1118.5993968766435955   -1498.0303439865160726       0.0223681294215663
    1130.9142704859928017   -1497.2413674013234868       0.0225270333716638
    1143.2455201256664168   -1496.4121802203412699       0.0226865126899629
    1155.5930657929372956   -1495.5427878231746490       0.0228465703061840
    1167.9568273793490789   -1494.6331958502701127       0.0230072091462959
    1180.3367246712425640   -1493.6834102028828966       0.0231684321324962
    1192.7326773502727519   -1492.6934370430367380       0.0233302421831931
    1205.1446049939272598   -1491.6632827934804482       0.0234926422129856
    1217.5724270760556465   -1490.5929541376553971       0.0236556351326453
    1230.0160629673855510   -1489.4824580196434454       0.0238192238490972
    1242.4754319360467889   -1488.3318016441246527       0.0239834112654009
    1254.9504531480972673   -1487.1409924763327126       0.0241482002807316
    1267.4410456680470816   -1485.9100382420040205       0.0243135937903617
    1279.9471284593801101   -1484.6389469273281065       0.0244795946856416
    1292.4686203850849324   -1483.3277267788951121       0.0246462058539811
    1305.0054402081771059   -1481.9763863036462226       0.0248134301788306
    1317.5575065922278100   -1480.5849342688125034       0.0249812705396627
    1330.1247381018933993   -1479.1533797018607856       0.0251497298119530
    1342.7070532034395001   -1477.6817318904384138       0.0253188108671620
    1355.3043702652732918   -1476.1700003823057159       0.0254885165727159
    1367.9166075584730606   -1474.6181949852816615       0.0256588497919886
    1380.5436832573157062   -1473.0263257671738302       0.0258298133842825
    1393.1855154398122068   -1471.3944030557192946       0.0260014102048106
    1405.8420220882326248   -1469.7224374385123156       0.0261736431046773
