lambda1 [graus]                v0 [km/s]            deltav [km/s]           deltav1 [km/s]           deltav2 [km/s]            deltat [dias]           gamma0 [graus]       energym [km^2/s^2]                       em
          20.00       1.1154399942626974       0.4447738749432107       0.2894255527079421       0.1553483222352686       1.0863717808077078    -128.5185634470490470      -0.0075356436550810       0.9090246577994855
          20.01       1.1154418098571861       0.4447724105765580       0.2894273683024309       0.1553450422741272       1.0865007447679449    -128.5114889568004912      -0.0075374881884888       0.9090023893555834
          20.02       1.1154436291572272       0.4447709557922864       0.2894291876024719       0.1553417681898145       1.0866296158656417    -128.5044135303930091      -0.0075393294062576       0.9089801609403039
          20.03       1.1154454521563155       0.4447695105733178       0.2894310106015603       0.1553384999717575       1.0867583942262058    -128.4973371710366621      -0.0075411673143717       0.9089579724813898
          20.04       1.1154472788479599       0.4447680749026737       0.2894328372932047       0.1553352376094690       1.0868870799748427    -128.4902598819350601      -0.0075430019188008       0.9089358239067787
          20.05       1.1154491092256815       0.4447666487633809       0.2894346676709263       0.1553319810924546       1.0870156732366136    -128.4831816662856454      -0.0075448332255004       0.9089137151445691
          20.06       1.1154509432830144       0.4447652321385052       0.2894365017282592       0.1553287304102460       1.0871441741364187    -128.4761025272796076      -0.0075466612404121       0.9088916461230300
          20.07       1.1154527810135058       0.4447638250111539       0.2894383394587505       0.1553254855524033       1.0872725827989931    -128.4690224681020254      -0.0075484859694632       0.9088696167706029
          20.08       1.1154546224107156       0.4447624273644776       0.2894401808559603       0.1553222465085172       1.0874008993489053    -128.4619414919315545      -0.0075503074185668       0.9088476270159017
          20.09       1.1154564674682164       0.4447610391816446       0.2894420259134611       0.1553190132681834       1.0875291239105753    -128.4548596019408535      -0.0075521255936220       0.9088256767877031
          20.10       1.1154583161795939       0.4447596604459132       0.2894438746248387       0.1553157858210745       1.0876572566082285    -128.4477768012961292      -0.0075539405005139       0.9088037660149724
          20.11       1.1154601685384460       0.4447582911404809       0.2894457269836908       0.1553125641567902       1.0877852975659907    -128.4406930931579325      -0.0075557521451139       0.9087818946268069
          20.12       1.1154620245383839       0.4447569312486915       0.2894475829836287       0.1553093482650628       1.0879132469077584    -128.4336084806800784      -0.0075575605332788       0.9087600625525134
          20.13       1.1154638841730311       0.4447555807538549       0.2894494426182759       0.1553061381355790       1.0880411047573111    -128.4265229670106692      -0.0075593656708520       0.9087382697215401
          20.14       1.1154657474360239       0.4447542396393456       0.2894513058812687       0.1553029337580769       1.0881688712382513    -128.4194365552914405      -0.0075611675636630       0.9087165160635128
          20.15       1.1154676143210112       0.4447529078885848       0.2894531727662559       0.1552997351223289       1.0882965464740135    -128.4123492486579607      -0.0075629662175272       0.9086948015082281
          20.16       1.1154694848216538       0.4447515854849555       0.2894550432668985       0.1552965422180570       1.0884241305879214    -128.4052610502402558      -0.0075647616382467       0.9086731259856207
          20.17       1.1154713589316263       0.4447502724120083       0.2894569173768711       0.1552933550351372       1.0885516237030555    -128.3981719631613885      -0.0075665538316092       0.9086514894258406
          20.18       1.1154732366446147       0.4447489686532109       0.2894587950898595       0.1552901735633514       1.0886790259424111    -128.3910819905391918      -0.0075683428033892       0.9086298917591588
          20.19       1.1154751179543181       0.4447476741921395       0.2894606763995629       0.1552869977925766       1.0888063374287811    -128.3839911354847629      -0.0075701285593474       0.9086083329160377
          20.20       1.1154770028544476       0.4447463890123677       0.2894625612996924       0.1552838277126753       1.0889335582848203    -128.3768994011036568      -0.0075719111052307       0.9085868128270910
          20.21       1.1154788913387272       0.4447451130975438       0.2894644497839720       0.1552806633135718       1.0890606886330052    -128.3698067904950335      -0.0075736904467725       0.9085653314231092
          20.22       1.1154807834008926       0.4447438464312850       0.2894663418461374       0.1552775045851476       1.0891877285956919    -128.3627133067524255      -0.0075754665896930       0.9085438886350228
          20.23       1.1154826790346921       0.4447425889972969       0.2894682374799369       0.1552743515173600       1.0893146782950465    -128.3556189529631126      -0.0075772395396983       0.9085224843939447
          20.24       1.1154845782338869       0.4447413407793507       0.2894701366791317       0.1552712041002190       1.0894415378530593    -128.3485237322081502      -0.0075790093024811       0.9085011186311613
          20.25       1.1154864809922493       0.4447401017611677       0.2894720394374941       0.1552680623236736       1.0895683073916154    -128.3414276475632505      -0.0075807758837212       0.9084797912780899
          20.26       1.1154883873035648       0.4447388719265700       0.2894739457488096       0.1552649261777604       1.0896949870324020    -128.3343307020975885      -0.0075825392890844       0.9084585022663336
          20.27       1.1154902971616310       0.4447376512594113       0.2894758556068757       0.1552617956525356       1.0898215768969515    -128.3272328988746267      -0.0075842995242233       0.9084372515276554
          20.28       1.1154922105602567       0.4447364397435268       0.2894777690055015       0.1552586707380254       1.0899480771066727    -128.3201342409519441      -0.0075860565947774       0.9084160389939594
          20.29       1.1154941274932642       0.4447352373628621       0.2894796859385089       0.1552555514243532       1.0900744877827713    -128.3130347313810375      -0.0075878105063726       0.9083948645973378
          20.30       1.1154960479544869       0.4447340441013449       0.2894816063997316       0.1552524377016132       1.0902008090463282    -128.3059343732076627      -0.0075895612646217       0.9083737282700231
          20.31       1.1154979719377707       0.4447328599429494       0.2894835303830154       0.1552493295599340       1.0903270410182617    -128.2988331694715782      -0.0075913088751243       0.9083526299444120
          20.32       1.1154998994369734       0.4447316848717046       0.2894854578822181       0.1552462269894864       1.0904531838193225    -128.2917311232066595      -0.0075930533434667       0.9083315695530675
          20.33       1.1155018304459650       0.4447305188716684       0.2894873888912097       0.1552431299804586       1.0905792375701076    -128.2846282374408702      -0.0075947946752220       0.9083105470287088
          20.34       1.1155037649586270       0.4447293619268975       0.2894893234038718       0.1552400385230257       1.0907052023910813    -128.2775245151965180      -0.0075965328759505       0.9082895623042003
          20.35       1.1155057029688533       0.4447282140215212       0.2894912614140981       0.1552369526074231       1.0908310784025297    -128.2704199594899137      -0.0075982679511993       0.9082686153125781
          20.36       1.1155076444705498       0.4447270751397235       0.2894932029157946       0.1552338722239289       1.0909568657245698    -128.2633145733313427      -0.0075999999065019       0.9082477059870433
          20.37       1.1155095894576335       0.4447259452656264       0.2894951479028782       0.1552307973627481       1.0910825644772246    -128.2562083597258322      -0.0076017287473800       0.9082268342609177
          20.38       1.1155115379240341       0.4447248243835287       0.2894970963692789       0.1552277280142498       1.0912081747802742    -128.2491013216719580      -0.0076034544793410       0.9082060000677330
          20.39       1.1155134898636927       0.4447237124776430       0.2894990483089375       0.1552246641687055       1.0913336967534193    -128.2419934621629807      -0.0076051771078804       0.9081852033411316
          20.40       1.1155154452705622       0.4447226095322844       0.2895010037158070       0.1552216058164774       1.0914591305161616    -128.2348847841860504      -0.0076068966384801       0.9081644440149378
          20.41       1.1155174041386073       0.4447215155317608       0.2895029625838521       0.1552185529479087       1.0915844761878775    -128.2277752907228603      -0.0076086130766096       0.9081437220231146
          20.42       1.1155193664618044       0.4447204304604330       0.2895049249070492       0.1552155055533838       1.0917097338877766    -128.2206649847491349      -0.0076103264277255       0.9081230372997874
          20.43       1.1155213322341417       0.4447193543027248       0.2895068906793865       0.1552124636233383       1.0918349037348969    -128.2135538692348575      -0.0076120366972713       0.9081023897792467
          20.44       1.1155233014496186       0.4447182870430247       0.2895088598948634       0.1552094271481613       1.0919599858481657    -128.2064419471444694      -0.0076137438906782       0.9080817793959113
          20.45       1.1155252741022468       0.4447172286658154       0.2895108325474915       0.1552063961183239       1.0920849803463197    -128.1993292214364999      -0.0076154480133644       0.9080612060843757
          20.46       1.1155272501860491       0.4447161791556060       0.2895128086312939       0.1552033705243121       1.0922098873479489    -128.1922156950637657      -0.0076171490707354       0.9080406697793846
          20.47       1.1155292296950599       0.4447151384968941       0.2895147881403046       0.1552003503565895       1.0923347069715164    -128.1851013709736833      -0.0076188470681843       0.9080201704158190
          20.48       1.1155312126233254       0.4447141066742739       0.2895167710685702       0.1551973356057037       1.0924594393352953    -128.1779862521075586      -0.0076205420110912       0.9079997079287353
          20.49       1.1155331989649031       0.4447130836723292       0.2895187574101479       0.1551943262621813       1.0925840845574328    -128.1708703414013542      -0.0076222339048240       0.9079792822533256
          20.50       1.1155351887138620       0.4447120694756995       0.2895207471591068       0.1551913223165927       1.0927086427559114    -128.1637536417852345      -0.0076239227547378       0.9079588933249415
          20.51       1.1155371818642823       0.4447110640690191       0.2895227403095271       0.1551883237594920       1.0928331140485841    -128.1566361561839642      -0.0076256085661755       0.9079385410790711
          20.52       1.1155391784102562       0.4447100674370223       0.2895247368555010       0.1551853305815214       1.0929574985531119    -128.1495178875162253      -0.0076272913444672       0.9079182254513786
          20.53       1.1155411783458866       0.4447090795644172       0.2895267367911314       0.1551823427732858       1.0930817963870421    -128.1423988386954989      -0.0076289710949306       0.9078979463776554
          20.54       1.1155431816652883       0.4447081004359775       0.2895287401105331       0.1551793603254444       1.0932060076677490    -128.1352790126294394      -0.0076306478228713       0.9078777037938552
          20.55       1.1155451883625869       0.4447071300364834       0.2895307468078316       0.1551763832286518       1.0933301325124727    -128.1281584122202730      -0.0076323215335823       0.9078574976360716
          20.56       1.1155471984319199       0.4447061683507934       0.2895327568771646       0.1551734114736287       1.0934541710382772    -128.1210370403644276      -0.0076339922323440       0.9078373278405628
          20.57       1.1155492118674355       0.4447052153637606       0.2895347703126803       0.1551704450510804       1.0935781233620963    -128.1139148999528743      -0.0076356599244250       0.9078171943437228
          20.58       1.1155512286632931       0.4447042710602374       0.2895367871085379       0.1551674839516994       1.0937019896007352    -128.1067919938712691      -0.0076373246150816       0.9077970970820800
          20.59       1.1155532488136641       0.4447033354252053       0.2895388072589089       0.1551645281662964       1.0938257698707907    -128.0996683249992714      -0.0076389863095573       0.9077770359923473
          20.60       1.1155552723127302       0.4447024084436068       0.2895408307579750       0.1551615776856318       1.0939494642887533    -128.0925438962113105      -0.0076406450130840       0.9077570110113576
          20.61       1.1155572991546845       0.4447014901004284       0.2895428575999293       0.1551586325004991       1.0940730729709560    -128.0854187103763024      -0.0076423007308812       0.9077370220760956
          20.62       1.1155593293337311       0.4447005803806879       0.2895448877789759       0.1551556926017120       1.0941965960335851    -128.0782927703575353      -0.0076439534681563       0.9077170691236914
          20.63       1.1155613628440859       0.4446996792694726       0.2895469212893307       0.1551527579801419       1.0943200335926533    -128.0711660790126984      -0.0076456032301044       0.9076971520914359
          20.64       1.1155633996799745       0.4446987867518182       0.2895489581252193       0.1551498286265989       1.0944433857640767    -128.0640386391944787      -0.0076472500219091       0.9076772709167333
          20.65       1.1155654398356349       0.4446979028128951       0.2895509982808797       0.1551469045320154       1.0945666526635585    -128.0569104537494809      -0.0076488938487412       0.9076574255371727
          20.66       1.1155674833053155       0.4446970274378580       0.2895530417505603       0.1551439856872977       1.0946898344066864    -128.0497815255191938      -0.0076505347157600       0.9076376158904689
          20.67       1.1155695300832751       0.4446961606118310       0.2895550885285199       0.1551410720833112       1.0948129311089325    -128.0426518573397914      -0.0076521726281129       0.9076178419144590
          20.68       1.1155715801637844       0.4446953023201010       0.2895571386090292       0.1551381637110718       1.0949359428855459    -128.0355214520415643      -0.0076538075909349       0.9075981035471726
          20.69       1.1155736335411246       0.4446944525478757       0.2895591919863694       0.1551352605615063       1.0950588698516937    -128.0283903124498011      -0.0076554396093496       0.9075784007267412
          20.70       1.1155756902095877       0.4446936112804628       0.2895612486548325       0.1551323626256303       1.0951817121223535    -128.0212584413841057      -0.0076570686884683       0.9075587333914659
          20.71       1.1155777501634765       0.4446927785031477       0.2895633086087213       0.1551294698944264       1.0953044698123890    -128.0141258416588528      -0.0076586948333910       0.9075391014797699
          20.72       1.1155798133971049       0.4446919542012978       0.2895653718423497       0.1551265823589482       1.0954271430364861    -128.0069925160829882      -0.0076603180492052       0.9075195049302384
          20.73       1.1155818799047972       0.4446911383602484       0.2895674383500420       0.1551237000102065       1.0955497319092222    -127.9998584674601716      -0.0076619383409873       0.9074999436815738
          20.74       1.1155839496808890       0.4446903309654685       0.2895695081261338       0.1551208228393347       1.0956722365449660    -127.9927236985883354      -0.0076635557138014       0.9074804176726602
