                   X [km]                   Y [km]                 T [dias]
    -789.0131029137583027   -1000.9812436633194466       0.0000000000000000
    -780.8003103093979007   -1007.4250175114125341       0.0001083632781633
    -772.5585228990871656   -1013.8318966080030350       0.0002167298357698
    -764.2877946895856667   -1020.2018389701147498       0.0003251029522412
    -755.9881798772966022   -1026.5348028568087102       0.0004334859069563
    -747.6597328479095950   -1032.8307467694587558       0.0005418819792294
    -739.3025081760475814   -1039.0896294520221090       0.0006502944482887
    -730.9165606249060829   -1045.3114098913117687       0.0007587265932552
    -722.5019451458965705   -1051.4960473172643560       0.0008671816931208
    -714.0587168782863046   -1057.6435012032063696       0.0009756630267269
    -705.5869311488343101   -1063.7537312661208944       0.0010841738727433
    -697.0866434714338311   -1069.8266974669106730       0.0011927175096462
    -688.5579095467423940   -1075.8623600106620870       0.0013012972156968
    -680.0007852618222159   -1081.8606793469039076       0.0014099162689203
    -671.4153266897711774   -1087.8216161698667293       0.0015185779470838
    -662.8015900893558410   -1093.7451314187435401       0.0016272855276751
    -654.1596319046432200   -1099.6311862779409694       0.0017360422878813
    -645.4895087646294769   -1105.4797421773359929       0.0018448515045673
    -636.7912774828721467   -1111.2907607925312732       0.0019537164542540
    -628.0649950571137197   -1117.0642040451000412       0.0020626404130974
    -619.3107186689112496   -1122.8000341028414368       0.0021716266568666
    -610.5285056832599366   -1128.4982133800265274       0.0022806784609226
    -601.7184136482195527   -1134.1587045376436436       0.0023897991001970
    -592.8805002945318847   -1139.7814704836423516       0.0024989918491701
    -584.0148235352501160   -1145.3664743731819726       0.0026082599818497
    -575.1214414653528593   -1150.9136796088623669       0.0027176067717498
    -566.2004123613675119   -1156.4230498409758638       0.0028270354918687
    -557.2517946809858813   -1161.8945489677389560       0.0029365494146681
    -548.2756470626832197   -1167.3281411355276305       0.0030461518120513
    -539.2720283253314619   -1172.7237907391179306       0.0031558459553417
    -530.2409974678154185   -1178.0814624219099187       0.0032656351152618
    -521.1826136686471500   -1183.4011210761721031       0.0033755225619111
    -512.0969362855763620   -1188.6827318432603988       0.0034855115647453
    -502.9840248552015964   -1193.9262601138523223       0.0035956053925546
    -493.8439390925811949   -1199.1316715281714096       0.0037058073134424
    -484.6767388908408520   -1204.2989319762136802       0.0038161205948034
    -475.4824843207820777   -1209.4280075979720550       0.0039265485033030
    -466.2612356304883292   -1214.5188647836537257       0.0040370943048553
    -457.0130532449292105   -1219.5714701739057091       0.0041477612646018
    -447.7379977655662628   -1224.5857906600315346       0.0042585526468902
    -438.4361299699546635   -1229.5617933842074763       0.0043694717152529
    -429.1075108113453780   -1234.4994457396971939       0.0044805217323855
    -419.7522014182848693   -1239.3987153710677376       0.0045917059601255
    -410.3702630942163410   -1244.2595701744005510       0.0047030276594311
    -400.9617573170762057   -1249.0819782975004273       0.0048144900903594
    -391.5267457388922026   -1253.8659081401065123       0.0049260965120457
    -382.0652901853802064   -1258.6113283540989869       0.0050378501826814
    -372.5774526555363195   -1263.3182078437012024       0.0051497543594933
    -363.0632953212332268   -1267.9865157656888641       0.0052618122987217
    -353.5228805268121732   -1272.6162215295871647       0.0053740272555995
    -343.9562707886740327   -1277.2072947978756474       0.0054864024843307
    -334.3635287948698078   -1281.7597054861814740       0.0055989412380688
    -324.7447174046897089   -1286.2734237634836063       0.0057116467688962
    -315.0998996482514940   -1290.7484200523022082       0.0058245223278022
    -305.4291387260876718   -1295.1846650288953242       0.0059375711646618
    -295.7324980087305448   -1299.5821296234503279       0.0060507965282148
    -286.0100410362978778   -1303.9407850202749160       0.0061642016660441
    -276.2618315180754962   -1308.2606026579851459       0.0062777898245547
    -266.4879333321011927   -1312.5415542296923377       0.0063915642489522
    -256.6884105247455068   -1316.7836116831922482       0.0065055281832216
    -246.8633273102906287   -1320.9867472211421955       0.0066196848701062
    -237.0127480705124015   -1325.1509333012490970       0.0067340375510863
    -227.1367373542557857   -1329.2761426364470481       0.0068485894663576
    -217.2353598770140195   -1333.3623481950774021       0.0069633438548105
    -207.3086805205022358   -1337.4095232010631662       0.0070783039540085
    -197.3567643322355707   -1341.4176411340908999       0.0071934730001673
    -187.3796765250997680   -1345.3866757297755612       0.0073088542281332
    -177.3774824769243423   -1349.3166009798405867       0.0074244508713623
    -167.3502477300569922   -1353.2073911322841013       0.0075402661618990
    -157.2980379909300837   -1357.0590206915474027       0.0076563033303549
    -147.2209191296324775   -1360.8714644186836722       0.0077725656058879
    -137.1189571794790538   -1364.6446973315255491       0.0078890562161806
    -126.9922183365737283   -1368.3786947048411093       0.0080057783874194
    -116.8407689593806396   -1372.0734320705059872       0.0081227353442736
    -106.6646755682862135   -1375.7288852176554883       0.0082399303098736
     -96.4640048451633447   -1379.3450301928485260       0.0083573665057903
     -86.2388236329367146   -1382.9218433002195070       0.0084750471520142
     -75.9891989351414736   -1386.4593011016397668       0.0085929754669334
     -65.7151979154878632   -1389.9573804168658171       0.0087111546673135
     -55.4168878974176309   -1393.4160583236960065       0.0088295879682759
     -45.0943363636652563   -1396.8353121581146752       0.0089482785832772
     -34.7476109558155670   -1400.2151195144456324       0.0090672297240874
     -24.3767794738580719   -1403.5554582454985848       0.0091864446007697
     -13.9819098757458651   -1406.8563064627123822       0.0093059264216591
      -3.5630702769489089   -1410.1176425362971258       0.0094256783933411
       6.8796710499932470   -1413.3394450953821888       0.0095457037206312
      17.3462456759164674   -1416.5216930281476380       0.0096660056065535
      27.8365850154830028   -1419.6643654819697531       0.0097865872523200
      38.3506203276293647   -1422.7674418635549500       0.0099074518573095
      48.8882827160168247   -1425.8309018390716574       0.0100286026190464
      59.4495031294846115   -1428.8547253342906060       0.0101500427331803
      70.0342123624989483   -1431.8388925347098848       0.0102717753934644
      80.6423410556095916   -1434.7833838856877264       0.0103938037917351
      91.2738196959037111   -1437.6881800925698371       0.0105161311178909
     101.9285786174604738   -1440.5532621208183173       0.0106387605598715
     112.6065480018088039   -1443.3786111961308052       0.0107616953036367
     123.3076578783830684   -1446.1642088045684886       0.0108849385331459
     134.0318381249828690   -1448.9100366926757033       0.0110084934303371
     144.7790184682338577   -1451.6160768676011230       0.0111323631751058
     155.5491284840450419   -1454.2823115972121286       0.0112565509452846
     166.3420975980720300   -1456.9087234102137245       0.0113810599166219
     177.1578550861807173   -1459.4952950962642717       0.0115058932627615
     187.9963300749080020   -1462.0420097060823537       0.0116310541552217
     198.8574515419280146   -1464.5488505515659199       0.0117565457633742
     209.7411483165181778   -1467.0158012058952863       0.0118823712544239
     220.6473490800229058   -1469.4428455036445484       0.0120085337933876
     231.5759823663232453   -1471.8299675408832172       0.0121350365430735
     242.5269765623048954   -1474.1771516752878597       0.0122618826640607
     253.5002599083264840   -1476.4843825262364589       0.0123890753146780
     264.4957604986905153   -1478.7516449749130061       0.0125166176509835
     275.5134062821138059   -1480.9789241644084541       0.0126445128267440
     286.5531250622015023   -1483.1662054998130316       0.0127727639934142
     297.6148444979186252   -1485.3134746483187882       0.0129013743001160
     308.6984921040626659   -1487.4207175393030411       0.0130303468936179
     319.8039952517427196   -1489.4879203644347854       0.0131596849183144
     330.9312811688512284   -1491.5150695777522287       0.0132893915162056
     342.0802769405433992   -1493.5021518957585158       0.0134194698268762
     353.2509095097129830   -1495.4491542975058564       0.0135499229874752
     364.4431056774741933   -1497.3560640246832918       0.0136807541326953
     375.6567921036383950   -1499.2228685816992311       0.0138119663947523
     386.8918953071948863   -1501.0495557357612597       0.0139435629033648
     398.1483416667936694   -1502.8361135169604950       0.0140755467857332
     409.4260574212280517   -1504.5825302183468466       0.0142079211665198
     420.7249686699168478   -1506.2887943960063240       0.0143406891678279
     432.0450013733887999   -1507.9548948691342503       0.0144738539091816
     443.3860813537681906   -1509.5808207201143887       0.0146074185075050
     454.7481342952604564   -1511.1665612945844259       0.0147413860771022
     466.1310857446408704   -1512.7121062015082771       0.0148757597296369
     477.5348611117398150   -1514.2174453132440703       0.0150105425741113
     488.9593856699324874   -1515.6825687656103128       0.0151457377168468
     500.4045845566292314   -1517.1074669579504643       0.0152813482614628
     511.8703827737672896   -1518.4921305531959206       0.0154173773088566
     523.3567051882978376   -1519.8365504779280855       0.0155538279571833
     534.8634765326823981   -1521.1407179224340780       0.0156907033018354
     546.3906214053861277   -1522.4046243407724432       0.0158280064354221
     557.9380642713684892   -1523.6282614508183997       0.0159657404477498
     569.5057294625813711   -1524.8116212343286406       0.0161039084258012
     581.0935411784643065   -1525.9546959369852175       0.0162425134537154
     592.7014234864395803   -1527.0574780684523830       0.0163815586127674
     604.3293003224119957   -1528.1199604024229757       0.0165210469813485
     615.9770954912655725   -1529.1421359766650312       0.0166609816349454
     627.6447326673637690   -1530.1239980930711226       0.0168013656461206
     639.3321353950501589   -1531.0655403176963318       0.0169422020844918
     651.0392270891468343   -1531.9667564808071347       0.0170834940167122
     662.7659310354599711   -1532.8276406769170990       0.0172252445064503
     674.5121703912791418   -1533.6481872648253102       0.0173674566143698
     686.2778681858844720   -1534.4283908676575265       0.0175101333981092
     698.0629473210464084   -1535.1682463728989205       0.0176532779122623
     709.8673305715344668   -1535.8677489324252292       0.0177968932083581
     721.6909405856225703   -1536.5268939625389066       0.0179409823348403
     733.5336998855949560   -1537.1456771439961813       0.0180855483370480
     745.3955308682552641   -1537.7240944220361598       0.0182305942571953
     757.2763558054334680   -1538.2621420064083395       0.0183761231343515
     769.1760968444970104   -1538.7598163713967097       0.0185221380044212
     781.0946760088579595   -1539.2171142558411248       0.0186686419001243
     793.0320151984877839   -1539.6340326631625430       0.0188156378509763
     804.9880361904268966   -1540.0105688613775783       0.0189631288832685
     816.9626606392985195   -1540.3467203831237384       0.0191111180200478
     828.9558100778189100   -1540.6424850256648824       0.0192596082810971
     840.9674059173155456   -1540.8978608509182777       0.0194086026829158
     852.9973694482404198   -1541.1128461854571015       0.0195581042386995
     865.0456218406848166   -1541.2874396205252197       0.0197081159583207
     877.1120841448971532   -1541.4216400120471917       0.0198586408483088
     889.1966772918016204   -1541.5154464806375927       0.0200096819118305
     901.2993220935120462   -1541.5688584115989670       0.0201612421486702
     913.4199392438547420   -1541.5818754549343339       0.0203133245552103
     925.5584493188872557   -1541.5544975253474149       0.0204659321244112
     937.7147727774172381   -1541.4867248022383137       0.0206190678457925
     949.8888299615267670   -1541.3785577297087457       0.0207727347054125
     962.0805410970898492   -1541.2299970165549894       0.0209269356858494
     974.2898262943002692   -1541.0410436362665223       0.0210816737661811
     986.5166055481905687   -1540.8116988270144248       0.0212369519219662
     998.7607987391592133   -1540.5419640916502431       0.0213927731252244
    1011.0223256334948019   -1540.2318411976900734       0.0215491403444165
    1023.3011058839017551   -1539.8813321773070584       0.0217060565444259
    1035.5970590300262302   -1539.4904393273154710       0.0218635246865382
    1047.9101044989840830   -1539.0591652091557080       0.0220215477284224
    1060.2401616058878062   -1538.5875126488811020       0.0221801286241115
    1072.5871495543788114   -1538.0754847371342748       0.0223392703239828
    1084.9509874371508431   -1537.5230848291296297       0.0224989757747387
    1097.3315942364856710   -1536.9303165446328876       0.0226592479193878
    1109.7288888247805971   -1536.2971837679333476       0.0228200896972248
    1122.1427899650816471   -1535.6236906478220590       0.0229815040438122
    1134.5732163116156244   -1534.9098415975613534       0.0231434938909603
    1147.0200864103233016   -1534.1556412948611978       0.0233060621667081
    1159.4833186993907930   -1533.3610946818407683       0.0234692117953046
    1171.9628315097897939   -1532.5262069650045760       0.0236329456971893
    1184.4585430658055429   -1531.6509836152010848       0.0237972667889727
    1196.9703714855781982   -1530.7354303675922438       0.0239621779834180
    1209.4982347816376205   -1529.7795532216123320       0.0241276821894214
    1222.0420508614372466   -1528.7833584409283958       0.0242937823119931
    1234.6017375279002408   -1527.7468525534047785       0.0244604812522386
    1247.1772124799483663   -1526.6700423510528708       0.0246277819073394
    1259.7683933130490459   -1525.5529348899926845       0.0247956871705339
    1272.3751975197499178   -1524.3955374903998745       0.0249641999310989
    1284.9975424902247596   -1523.1978577364673129       0.0251333230743302
    1297.6353455128080441   -1521.9599034763457439       0.0253030594815239
    1310.2885237745445011   -1520.6816828220996740       0.0254734120299577
    1322.9569943617259469   -1519.3632041496468901       0.0256443835928717
    1335.6406742604365263   -1518.0044760987120753       0.0258159770394496
    1348.3394803570984095   -1516.6055075727640542       0.0259881952348003
    1361.0533294390129413   -1515.1663077389598584       0.0261610410399386
    1373.7821381949099759   -1513.6868860280821991       0.0263345173117669
    1386.5258232154885718   -1512.1672521344826237       0.0265086269030561
    1399.2843009939699641   -1510.6074160160135307       0.0266833726624272
    1412.0574879266407606   -1509.0073878939633687       0.0268587574343325
    1424.8453003133990933   -1507.3671782529916072       0.0270347840590370
    1437.6476543583082730   -1505.6867978410598425       0.0272114553725997
    1450.4644661701413497   -1503.9662576693594929       0.0273887742068552
    1463.2956517629340851   -1502.2055690122397209       0.0275667433893948
    1476.1411270565317864   -1500.4047434071369480       0.0277453657435485
    1489.0008078771422788   -1498.5637926544945913       0.0279246440883660
    1501.8746099578916073   -1496.6827288176905313       0.0281045812385985
    1514.7624489393667773   -1494.7615642229536661       0.0282851800046802
    1527.6642403701764579   -1492.8003114592843303       0.0284664431927097
    1540.5798997075016814   -1490.7989833783753966       0.0286483736044320
    1553.5093423176481338   -1488.7575930945215532       0.0288309740372198
    1566.4524834766050390   -1486.6761539845399511       0.0290142472840554
    1579.4092383705972225   -1484.5546796876785720       0.0291981961335120
    1592.3795220966401303   -1482.3931841055280074       0.0293828233697361
    1605.3632496630973492   -1480.1916814019280082       0.0295681317724286
    1618.3603359902401735   -1477.9501860028804003       0.0297541241168269
    1631.3706959108003502   -1475.6687125964481311       0.0299408031736868
    1644.3942441705330566   -1473.3472761326650016       0.0301281717092641
    1657.4308954287678262   -1470.9858918234317571       0.0303162324852965
    1670.4805642589790295   -1468.5845751424189984       0.0305049882589858
    1683.5431651493354366   -1466.1433418249696388       0.0306944417829794
    1696.6186125032656946   -1463.6622078679881724       0.0308845958053528
    1709.7068206400190320   -1461.1411895298417676       0.0310754530695908
    1722.8077037952257342   -1458.5803033302522635       0.0312670163145705
    1735.9211761214592116   -1455.9795660501874863       0.0314592882745426
    1749.0471516887967027   -1453.3389947317491533       0.0316522716791136
    1762.1855444853861172   -1450.6586066780657802       0.0318459692532283
    1775.3362684180069664   -1447.9384194531760386       0.0320403837171517
    1788.4992373126367511   -1445.1784508819143866       0.0322355177864509
    1801.6743649150134843   -1442.3787190497941992       0.0324313741719778
